"path.to.input","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright","e"
"input/A/",6,33,228.1,1,4.9,140,186,61,167.21
"input/A/",7.8,29,107.4,2,3.2,493,186,141,140.78
"input/A/",7.2,50,292.6,1,0.4,119,186,29,425.86
"input/A/",13.5,33,179.7,2,2.4,94,186,16,775
"input/A/",6.7,10,77.2,2,4.7,684,186,143,204.2
"input/A/",7.5,44,47.2,1,1.2,140,186,42,288.1
"input/A/",6.9,53,224.5,2,2.6,337,186,114,129.39
"input/A/",6.9,49,283.1,2,5.5,324,186,89,186.52
"input/A/",10.7,26,315.8,1,3.8,129,186,42,275
"input/A/",9.3,27,46.1,1,5.1,154,186,53,220.75
"input/A/",12.6,24,357,2,2.5,333,186,35,641.43
"input/A/",6.4,8,108,2,1.4,714,186,143,214.69
"input/A/",12.7,53,123.5,1,5.3,44,186,10,1050
"input/A/",10.8,29,68.5,2,0.9,469,186,101,224.26
"input/A/",11.8,51,143.4,1,3.6,62,186,9,1277.78
"input/A/",9.2,22,145.4,2,2,619,186,145,177.59
"input/A/",11.9,28,185.7,2,5.5,246,186,80,170
"input/A/",9.3,25,2.3,1,2.3,151,186,26,548.08
"input/A/",8.3,11,229.4,1,1.2,183,186,73,152.74
"input/A/",10,32,272,1,3.9,131,186,46,244.57
"input/A/",8.7,42,100.6,1,4.4,141,186,59,177.12
"input/A/",10.4,56,306.3,1,1.9,82,186,31,332.26
"input/A/",8.6,38,345.3,1,4,134,186,26,515.38
"input/A/",9,11,142.6,1,0.5,194,186,84,126.19
"input/A/",10.4,11,206.7,2,5,738,186,144,220.83
"input/A/",7,20,345.4,2,5.2,560,186,137,172.26
"input/A/",13.5,48,48.2,1,4.9,37,186,6,1758.33
"input/A/",8.7,22,357.4,2,2.3,544,186,114,220.18
"input/A/",11.8,26,191.6,1,1.4,105,186,33,340.91
"input/A/",9.4,31,212.3,2,1.1,422,186,142,114.08
"input/A/",13.2,35,198.7,1,0.1,59,186,11,1013.64
"input/A/",13,48,273,2,4.2,40,186,9,1155.56
"input/A/",7.3,14,100.5,2,1.2,662,186,150,182.67
"input/A/",8.8,30,194.3,1,2.5,145,186,65,154.62
"input/A/",13.2,49,42,1,4.9,49,186,9,1205.56
"input/A/",10.1,9,214.3,1,5,210,186,65,204.62
"input/A/",13.9,44,331.8,1,2.6,42,186,9,1166.67
"input/A/",11.2,42,260.6,1,2.5,82,186,28,378.57
"input/A/",9.2,43,14.8,2,2.1,402,186,90,226.67
"input/A/",9.8,7,30.9,1,4.3,251,186,39,460.26
"input/A/",10.5,8,203.8,1,4.5,189,186,74,153.38
"input/A/",7.7,17,175.3,1,4.1,171,186,88,102.84
"input/A/",9,15,63.9,1,3.3,185,186,64,189.84
"input/A/",10.5,44,143.2,2,4.4,262,186,91,146.15
"input/A/",7.7,32,0.4,1,3.2,146,186,37,348.65
"input/A/",6.6,29,316.6,1,1.1,138,186,27,500
"input/A/",10.8,32,37.8,1,3.8,120,186,33,363.64
"input/A/",9,31,120.9,1,1.2,147,186,64,160.16
"input/A/",9.3,44,114.5,2,0.4,402,186,131,124.43
"input/A/",14,21,67.7,1,2.5,93,186,19,634.21
"input/A/",9.3,22,295.6,2,1.5,541,186,88,313.07
"input/A/",8.6,14,173.2,2,4.7,705,186,146,205.14
"input/A/",10.5,16,303.7,1,5.1,159,186,25,590
"input/A/",11.8,9,23.7,2,4.9,1088,186,80,696.25
"input/A/",9.2,40,307.3,2,2.4,419,186,107,182.71
"input/A/",11,48,61.6,2,2.5,174,186,42,328.57
"input/A/",6.6,50,54.6,1,1.4,132,186,45,253.33
"input/A/",12.8,35,276,2,2.3,120,186,25,512
"input/A/",7.6,28,297.9,1,3.4,139,186,46,253.26
"input/A/",6.2,22,267.6,2,3.2,515,186,78,349.36
"input/A/",13.2,27,314,2,5,182,186,31,493.55
"input/A/",11.5,40,69.2,2,1.5,226,186,42,390.48
"input/A/",6.7,55,39.6,1,2.3,128,186,47,234.04
"input/A/",13,53,238.8,2,2.4,35,186,9,1127.78
"input/A/",10.9,12,19.2,2,0,941,186,123,358.13
"input/A/",7,26,41.8,2,1.5,496,186,120,184.17
"input/A/",7.4,7,80.9,1,2.4,190,186,68,176.47
"input/A/",11.6,43,144.1,2,2.3,185,186,42,341.67
"input/A/",13,40,205.9,1,4.8,51,186,13,811.54
"input/A/",12,42,151.3,1,2,71,186,15,756.67
"input/A/",6.2,36,126.5,1,0,133,186,73,118.49
"input/A/",12.9,22,309.7,2,4.3,293,186,50,379
"input/A/",11,51,184.6,2,3.9,164,186,52,236.54
"input/A/",8.5,32,321.8,2,0.2,464,186,92,253.26
"input/A/",12.6,35,250.5,2,5.3,120,186,36,325
"input/A/",9.7,35,316.8,1,2.5,127,186,38,311.84
"input/A/",12.4,38,234.8,1,2,66,186,27,366.67
"input/A/",7.6,32,155,1,5.4,149,186,70,139.29
"input/A/",8.3,9,330.2,2,4.1,803,186,139,255.76
"input/A/",6.6,41,251.7,2,0.9,376,186,113,148.67
"input/A/",12.6,24,19.9,1,2.1,119,186,19,702.63
"input/A/",7.2,44,149.2,2,1.2,410,186,140,112.86
"input/A/",8.5,28,71.2,2,4,502,186,137,151.09
"input/A/",8.8,45,31.9,2,5,391,186,77,274.68
"input/A/",10.5,10,254.5,1,0.6,221,186,64,217.97
"input/A/",11.4,37,173.8,2,5.2,205,186,66,196.21
"input/A/",12.2,8,288,2,5,809,186,74,572.3
"input/A/",9.7,34,169.3,1,3.9,129,186,53,197.17
"input/A/",7.1,50,167.6,2,5.2,359,186,122,123.36
"input/A/",13.9,13,230.2,1,2.7,135,186,31,417.74
"input/A/",8.4,52,312,1,5.1,113,186,24,522.92
"input/A/",8.6,23,27.9,1,2.5,153,186,59,187.29
"input/A/",6.6,9,217.6,2,0.9,677,186,143,201.75
"input/A/",12,11,221.8,1,1,159,186,53,225.47
"input/A/",9.2,38,24.8,1,2.8,130,186,42,276.19
