"path.to.input","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"input/B/",0.1,55.8,10,38,334.9,2.3,9.4,1.46,745,7.07,50.96,7.07,2350,405.77,788.55,3973.9,414.68,1268.26,1
"input/B/",0.1,75.3,10,27,101.7,0.4,10.5,4.5,2030,7.07,84.27,7.07,3960,497.77,640.63,5079.14,188.97,900.47,1
"input/B/",5.8,88.3,13,43,253.7,2.8,12.6,0,0,0,0,0,3300,743.98,1200.63,5205.22,474.05,1553.52,0
"input/B/",1.5,52.5,12,48,151.3,3.2,13.9,0,0,0,0,0,2570,463.24,903.21,4904.65,461.71,1022.84,0
"input/B/",4.8,89.3,4,18,88.2,0.5,8.8,48.62,2105.15,40.31,58.85,13.17,4575,247.2,303.25,5478.96,86.73,653.33,16
"input/B/",3.8,63,10,9,98.8,4.1,11.9,18.1,2320,65.76,112.97,29.54,3890,452.41,583.89,5013.18,188.63,939.21,7
"input/B/",0.3,14.1,23,17,263,4.6,13.3,0,0,0,0,0,4730,654.6,1113.98,8708.74,675.64,1559.85,0
"input/B/",1.5,11.4,2,49,38.9,2.1,8.8,0,0,0,0,0,3910,339.05,524.8,7175.21,331.24,1044.85,0
"input/B/",4.3,25.6,18,17,59.3,0.8,7.1,39.05,1413.74,7.07,15.02,5.69,2010,158.19,297.25,3777.39,178.63,617.27,9
"input/B/",1,68.2,6,30,76.1,2.8,13,0,0,0,0,0,3195,537.11,754.75,4528.1,253.25,606.3,0
"input/B/",1.7,56.2,2,43,277,3.8,13.7,0,0,0,0,0,2905,691.39,1428.08,5217.13,754.4,1354.63,0
"input/B/",3.5,16.2,7,35,244.4,0.2,7.4,0.21,30,5,13.09,5,3325,328.7,375.06,4198.17,280.08,1552.92,1
"input/B/",3.3,23.1,19,54,279,5.3,10,0,0,0,0,0,4890,545.19,670.77,6700.52,405.05,1561.33,0
"input/B/",4.3,69.3,7,54,117.6,2,12.3,0,0,0,0,0,2780,484.67,711.71,4146.51,253.53,960.94,0
"input/B/",0.2,60.1,12,52,67,1.2,7.1,0,0,0,0,0,4495,348.81,376.93,5243.09,132.75,973.27,0
"input/B/",1.8,4,2,45,214.6,5.4,10.3,0,0,0,0,0,6535,538.5,867.67,13181.98,525.55,1561.15,0
"input/C/",5.2,66.4,20,21,169.8,1.3,8.3,43.63,1515,30,27.68,11.8,3200,45.65,65.01,4512.13,28.09,1466.66,59
"input/C/",2.5,21.7,18,30,36.4,2.4,13.2,5.08,3256.83,142.13,209.83,100.88,5430,357.54,516.9,7922.86,307.78,1813.92,10
"input/C/",2,59.4,18,28,309,5.3,9,46.19,930,53.85,27.92,19.82,3820,119.55,177.05,5554.95,78.01,1545.78,76
"input/C/",2.8,32.9,5,27,101.1,0.9,10.2,26.7,2665,162.63,31.31,19.25,4260,136.21,200.17,6202.96,98.99,1807.6,31
"input/C/",3.6,49.8,8,49,28.6,2.9,6.2,29.31,560,20.62,17.67,8.98,3105,55.95,81.02,4379.75,46.63,1634.21,32
"input/C/",3.5,47.9,4,34,346.4,1.4,10.8,21.53,1695,187.22,26.72,20.2,5415,269.72,394.4,7651.83,171.7,1655.52,16
"input/C/",3.3,44.1,4,14,81.1,3.1,12,20.92,3510,194.49,58.45,67.76,5045,180.85,264.43,7267.3,120.27,1739,29
"input/C/",0.1,37.4,17,32,322.8,1.8,12.3,8.14,2965,200.06,51.43,42.69,5385,348.36,510.32,7685.87,237.74,1728.51,6
"input/C/",5.1,86.9,12,35,0.4,5,7.5,46.13,591.3,47.17,25.34,20.4,3895,74.38,108.57,5505.46,49.11,1537.09,83
"input/C/",5.9,4.9,9,26,144.1,2.6,13.5,6.39,1530,195.58,191.44,78.4,5085,224.71,341.47,8683,166.47,1998.11,17
"input/C/",1.5,38.7,10,11,297.3,3.3,9.4,49.91,2020,90.14,28.18,21.19,4810,105.32,136.1,5893.19,71.6,1646.17,100
"input/C/",0.4,35.7,9,34,48.6,1,8.6,32.64,2420,50,21.7,17.16,3900,130.04,205.17,5862.38,117.09,1812.98,49
"input/C/",3,35.2,21,48,17.1,3,8.4,28.03,2055,187.22,25.04,19.86,3260,162.23,309.31,5842.28,181.4,1813.3,42
"input/C/",2,20.2,14,18,335.8,3.1,13.3,0,0,0,0,0,5105,354.02,420.64,5913.02,282.91,1983.36,0
"input/C/",4,3.5,15,39,309.7,2.7,11.8,11.23,3475,319.77,108.24,94.98,5595,293.9,579.05,10280.88,386.36,1957.99,13
"input/C/",1.3,36,6,10,270.9,2.8,7.9,59.56,1050,83.22,33.15,25.74,2830,60.3,99.78,4354.36,49.72,1934.41,114
"input/C/",5.7,59.4,11,10,232.4,1.4,7.9,56.11,1405,50,30.6,17.6,3430,48.71,73.42,5069.25,31.25,1919.59,95
"input/C/",4.6,23.8,19,48,23.8,2.2,10.7,23.25,3069.75,142.13,31.89,20.15,4820,253.35,412.58,7489.18,247.78,1799.85,16
"input/C/",4.5,81.5,9,17,344.5,4.8,8.2,58.1,1480,49.24,30.49,22.6,4510,68.78,83.94,5238.95,37.41,1517.2,126
"input/C/",0,60,19,16,157.9,4.9,10.9,34.03,2195,35.36,35.08,14.81,3895,93,121.58,5208.3,46.57,1364.77,46
"input/C/",2.4,20,1,19,325.7,1.2,9.6,43.89,3145,110.68,33.76,31.09,3990,154.4,243.62,7017.85,149.3,1751.2,83
"input/C/",1.2,31,16,30,139.3,3.8,12.9,6.18,2440,148.41,134.75,68.1,4750,152.04,234.07,6940.09,92.51,1717.4,8
"input/C/",1.3,87.9,15,16,291.1,3.7,12.7,32.3,1085,223.44,84.23,83.9,3465,236.93,384.43,5138.7,160.27,1491.79,43
"input/C/",2.2,73.1,21,10,65.9,0.8,13.4,23.05,3025,292.96,151.27,122.01,5025,202.84,282.9,6791.31,106.55,1765.85,40
"input/C/",3.3,50.6,7,25,19.3,1.3,11,28.97,2019.44,242.07,57.68,82.33,3885,275.52,516.47,6893.11,267.67,1801.64,29
"input/C/",1.6,45.3,16,31,329.6,1.8,8.9,44.44,555,74.33,25.75,26.05,3430,137.32,257.81,6066.96,140.37,1671.91,80
"input/C/",3.4,62.6,3,11,89.2,2.8,13.9,11.89,3570,194.49,156.67,101.05,6450,201.8,265.12,7930.75,96.21,1644.06,19
"input/C/",2.8,1.1,1,27,33.8,2.9,9.5,29.34,1200,142.13,26.04,19.25,4675,170.64,261.59,8954.55,208.33,1816.08,29
"input/C/",2.4,4.3,1,19,287.4,1,13.7,13.18,3410,380.3,129.22,74.62,5370,301.33,524.45,9767.12,351.32,1999.46,27
"input/C/",5.9,60.3,3,19,7.2,4.1,12.9,15.86,3261.19,205.97,241.89,156.51,6310,362.63,529.96,8982.95,207.4,1750.28,27
"input/C/",4.3,24.4,22,18,243.7,0.4,12.8,2.29,2810,147.05,64.88,77.06,5155,270.5,343.82,6285.35,186.31,1975.89,2
"input/C/",5.2,57.1,3,47,259.5,2.6,10.8,27.1,1224.66,46.1,30.35,14.15,4130,173.43,283.1,6392.14,125.11,1916.4,25
"input/C/",5.8,53.2,18,21,279.1,3.7,9.2,50.31,1665,47.17,30.2,19.7,3995,98.89,138.77,5326.2,61.3,1604.55,87
"input/C/",1.3,81.4,20,38,90.1,5.3,10.6,18.51,1155,132.1,32.97,40.01,2900,124.69,218.53,4675.8,102.11,1442.79,18
"input/C/",1.5,72.9,1,56,313.6,1,10.2,28.54,2425,18.03,31.47,9.15,4965,181.69,215.53,5881.09,75.45,1495.5,22
"input/C/",3.5,19.2,18,46,156,1.6,11,16.27,1920,35.36,35.76,14.26,4180,107.56,173.24,6513.64,74.1,1922.97,19
"input/C/",5.7,16.8,22,27,21,4.1,12.3,7.78,2759.45,162.79,165.89,110.97,4400,342.06,531.53,7136.17,349.19,1798.97,14
"input/C/",5.3,35.8,15,35,53.9,4.6,12.7,0,0,0,0,0,5435,322.41,414.02,6876.16,191.17,1774.96,0
"input/C/",2.4,39.1,1,47,343.3,5.1,12.7,0.91,625,158.82,158.58,152.08,3920,465.98,895.83,7064.14,468.65,1675.16,2
"input/C/",4.2,17.8,3,48,37.9,5.4,11.8,4.16,3045,142.13,172.18,87.19,4745,319.71,485.21,7098.46,312.27,1821.39,8
"input/C/",4.8,67.1,5,43,54.1,1.1,10.7,19.43,1100,194.49,40.75,56.61,3760,231.75,395.23,6289.07,182.57,1815.94,17
"input/C/",4,68.3,2,37,149.1,2.5,9.2,37.67,1250,31.62,29.6,13,3170,68.03,90.43,4222.09,36.77,1351.45,56
"input/C/",0.8,62.1,3,54,335,1.8,8.7,32.31,1775,26.93,24.34,11.26,4330,131.46,161.54,5157.45,68.57,1531.3,39
"input/C/",0.3,29.3,15,34,214.5,2.8,11.6,0.74,865,5,15.91,5,4870,221.31,273.54,5862.18,137.4,1990.42,1
"input/C/",4.6,66.7,4,26,314.1,2.5,13.1,5.36,2785,90.14,93.23,28.09,5670,269.05,294.03,6068.77,96.81,1528.61,5
"input/C/",2.2,79.1,11,7,349.9,0.1,10.3,63.45,1230,215,48.18,50.68,4370,109.29,166.76,6518.53,73.4,1636.19,156
"input/C/",4.2,68.9,20,11,133.2,3.2,13.7,11.57,2550,132,68.92,27.39,4205,113.66,158.7,5639.27,56.32,1369.79,10
"input/C/",5.2,21,18,50,245.1,5.3,12.8,7.4,2525,190.07,95.87,39.79,4495,221.79,396.24,7946.42,204.73,1996.6,14
"input/C/",0.4,51.2,9,27,298.1,1.6,12.1,12.89,2415,14.14,34.56,7.17,5465,262.16,327.84,6565.97,131.48,1676.86,8
"input/C/",5.3,58.4,13,22,316.3,0.2,12.8,11.77,2264.2,299.67,204.6,116.99,5110,355.18,558.03,7733.73,239.86,1669.02,19
"input/C/",5.3,48.2,6,10,185.7,2.3,9.5,40.59,2175,32.02,26.42,10.25,3045,49.21,83.67,5157.1,40.51,1903.64,42
"input/C/",2.5,24.8,14,38,273.3,0.2,6.3,50.84,880,67.27,24.6,19.76,2960,44.31,87.12,5281.33,46.9,1952.79,64
"input/C/",2.7,55.9,17,44,223.3,1.5,7.2,38.28,1310,30,21.08,13.52,3370,57.66,58.9,3431.43,36.31,1142.28,59
"input/C/",5.1,54.1,9,23,82,2.2,7.8,46.83,1255,47.43,26.78,22.57,3300,57.86,87.29,4780.74,46.39,1551.18,101
"input/C/",4.4,57.6,13,8,290,2.4,8.1,61.73,2005,45,28.51,21.26,3910,53.77,56.11,4056.38,34.04,1166.87,144
"input/C/",3.4,64.5,7,8,194.5,1.5,6.1,50.01,2315,25,23.28,11.08,2315,25.01,39.92,3866.96,18.91,1529.22,61
"input/C/",4.2,9.2,19,55,171.6,1.2,9.2,27.59,1279.4,15.81,24.15,8.71,4090,75.59,122.67,7068.88,64.62,1992.97,30
"input/C/",1.6,88.3,20,41,47.1,2.3,6.1,36.8,570,36.06,22.34,15.27,2805,44.64,58.24,3597.63,30.13,1184.01,61
"input/C/",0.8,19,14,17,318.7,5,9.7,47.13,2120,180.28,34.42,37.2,3590,145.56,286.25,6720.69,181.96,1671.6,86
"input/C/",1.1,32.6,15,17,70.5,3.2,11.7,17.77,2420,187.22,25.35,21.25,5375,217.17,273.49,6611.58,140.54,1818.37,14
"input/C/",3.1,9.5,11,11,260.8,0.1,7.9,58.32,1455,49.24,31.31,21.47,3090,62.83,95.41,4974.03,53.98,1991.57,115
"input/C/",2.3,72.6,15,29,34.8,2.5,7.6,38.43,1995,70,25.54,29.33,2600,85.26,164.78,4661.91,89.51,1805.93,96
"input/C/",5.2,83.3,22,21,95.1,3.5,13.3,11.28,2997.86,162.63,111.75,64.89,5425,171.43,229.94,6828.96,77.3,1387.08,10
"input/C/",2.6,83.6,21,20,240.4,5.1,7.1,51.71,720,43.01,29.87,15.87,3475,47.62,67.78,4836.76,27.8,1807.05,74
"input/C/",2.6,55,17,29,95.3,0.6,11.9,13.99,3720,166.51,47.76,46.66,4260,160.53,240.38,5794.2,100.99,1525.58,11
"input/C/",0.7,10.8,12,32,12.6,3.4,6.9,40.11,500,39.05,18.47,16.55,3225,60.45,80.63,5069.84,63.54,1738.9,68
"input/C/",5,52.8,21,52,80.5,1.3,11.2,11.92,1925.62,162.63,32.19,25.59,4075,189.87,286.04,5856.51,124.42,1725.46,8
"input/C/",2.4,48.3,5,18,205.2,3.3,12.6,18.92,2685,20,40.84,9.13,3825,118.12,213.21,6704.12,102.46,1995.42,16
"input/C/",0.2,16.6,21,13,158.6,1.3,9.6,41.32,1945,38.08,19.79,14.99,4200,123.96,126.59,4292.42,106.64,1926.33,71
"input/C/",3.9,25.4,10,55,354.7,3.1,10,19.58,1125,10,18.67,6.6,4455,245.73,372.57,6751.82,211.88,1785.72,12
"input/C/",3.1,17,7,53,93.1,1.1,8.4,23.15,1610,42.72,22.94,16.08,3720,104.8,175.18,6053.63,105.63,1813.42,36
"input/C/",2.9,53.5,16,8,72.7,2.5,12.5,36.23,2450,390,81.13,126.5,3155,147.33,289.66,5734.79,157.99,1812.01,69
"input/C/",5.2,13.7,11,48,209.8,0,6,32.25,1520,20.62,18.23,10.88,2570,42.38,47.65,2900.32,38.87,1773.05,42
"input/C/",3.9,41.7,6,54,135.2,0.8,11.2,13.29,1415,25.5,27.84,8.81,2750,84.28,141.62,4308.4,58.71,1448.75,8
"input/C/",2.1,11.4,21,40,200.3,0.8,11.3,16.09,2070,40.31,46.56,14.37,4180,117.05,192.93,7553.31,100.3,2000.37,23
"input/C/",6,18.8,15,48,195.9,0,13.8,3.11,3280,40.31,96.23,21.48,5770,146.11,241.49,10308.26,109.88,2002.17,6
"input/C/",1.9,81.3,13,17,276.6,4.2,7.2,56.66,1407.84,45.28,29.91,20.14,3725,49.71,63.89,4893.08,28.94,1430.31,105
"input/C/",3,27.5,0,31,107.9,1.5,10.7,21.07,3045,14.14,18.72,7.49,5255,185.85,193.94,5472.99,128.44,1916.25,13
"input/C/",1.6,17.8,15,56,33.7,2,9,25.18,2199.13,15,17.03,7.76,3455,159.33,196.52,4117.31,147.22,1809.83,22
"input/C/",4.7,0.5,14,30,302.4,2.9,9,36.22,1535,31.62,18.01,12.07,1985,131.12,131.12,1985,131.01,1985,51
"input/C/",1.3,1.2,4,22,122.1,3.2,13.1,0,0,0,0,0,2150,318.58,374.23,2523.32,298.16,2001.34,0
"input/C/",2.7,4.1,0,36,184.4,2.1,12.9,0,0,0,0,0,3440,286.71,372.94,5174.77,235.72,1998.26,0
"input/C/",5.9,81,8,25,349.2,1.4,7.7,55,270,73.82,27.98,31.7,2840,78.92,140.78,4852.24,71.75,1627.3,129
"input/C/",5.5,30.7,0,27,308.1,0.7,12.1,0,0,0,0,0,5480,299.17,351.17,6239.3,196.56,1910.46,0
"input/C/",1.9,64.8,23,56,64.9,4.3,7.3,31.94,1530,25,21.55,11.51,3880,61.31,61.31,3880,34.92,1025.81,44
"input/C/",3.1,79.8,13,53,359.3,2.6,7.6,35.76,535,38.08,21.15,12.53,3750,91.98,139.08,5401.95,63.27,1561.69,47
"input/C/",5.7,32.6,11,39,174,4.3,11.4,14.1,1900,15.81,38.22,9.08,4405,88.27,139.93,6983.01,62.55,1986.97,16
"input/C/",2.5,69,12,17,327.4,2.9,7.2,57.47,1039.36,58.31,28.51,25.07,3260,56.35,81.01,4482.22,39.86,1496.65,128
"input/C/",5.9,28.4,9,35,184.2,1.9,6.3,38.36,1570,26.93,21.2,12.25,2980,40.03,53.03,3755.51,31.1,1785.29,53
"input/C/",5,76.9,10,23,108,4.7,12.8,10.23,1965,100,53.66,30.12,3620,114.16,183.97,5297.13,76.42,1345.52,9
"input/C/",3.7,38.5,23,50,68.3,2.7,7.7,24.62,640,38.08,20.09,12.78,2950,85.36,154.77,5173.6,91.25,1777.78,30
"input/C/",3.8,73.3,5,34,74.2,2.4,6.5,39.93,1010,36.06,23,16.82,3580,43.57,55.92,4516.62,30.68,1255.06,71
"input/C/",2.8,34.3,3,44,34.9,0.8,11.1,15.57,495,101.98,24.03,14.65,4285,309.15,550.33,7617.89,291.65,1812.87,11
"input/C/",0.4,7.7,7,23,280,4.1,7.8,53.92,2010,65,32.37,23.88,3610,72.3,113.36,6247.16,66.72,1958.69,97
"input/C/",2.5,58.6,1,47,124.3,2.6,10,25.87,1520,25.5,27.28,8.87,3310,94.92,134.78,4440.4,55.16,1274.65,24
"input/C/",1.2,26.5,17,54,241,2.5,11.5,10.64,2310,46.1,60.9,17.53,4020,190.84,309.86,6470.07,154.13,2004.86,16
"input/C/",4.5,84.9,17,27,302,2.3,8.8,52.41,720,45.28,29.41,20.35,3720.28,98.26,147.86,5131.96,61.24,1282.17,93
"input/C/",0.3,33.3,18,21,339.2,0.8,6.5,51.73,1115,58.31,23.46,23.42,3120,46.88,68.1,5006.79,41.95,1565.76,105
"input/C/",3.5,65.4,23,7,347.9,5.2,9.3,68.5,682.76,205.97,38.29,51.79,2900,88.33,165.22,5026.37,88.53,1669.23,178
"input/C/",3.2,44.6,18,43,135.9,5.3,6.4,34.61,570,36.06,24.03,13.75,2075,37.79,57.92,3352.63,29.32,1352.73,52
"input/D/",0.6,60.9,20,23,277.4,5.2,10.9,77.51,2720,170.07,43.42,27.2,4060,107.47,153.32,5702.76,71.07,1565.7,229
"input/D/",1.1,63.3,12,27,325.5,3.2,11.7,71.55,3595,139.01,61.96,33.12,4635,150.78,214.77,6623.56,91.76,1568.07,184
"input/D/",1.5,8.7,1,32,269.5,1,7.4,81.45,1610,79.06,23.31,11.86,3155,42,58.91,5058.76,42.63,1659.5,237
"input/D/",2.7,27.5,8,34,151.9,5.3,6.6,84.2,1464.64,25,26.13,10.09,3005,35.39,48.39,4115.15,30.64,1375.8,226
"input/D/",3.8,45.6,19,33,169.3,2.5,12.2,49.5,3555,109.66,78.47,25.89,4750,272.77,384.84,6879.98,165.67,1509.3,113
"input/D/",2.9,4.9,6,46,315.6,2.5,7.7,72.65,1320,78.1,23.16,10.45,3290,55.01,78.1,5616.91,54.49,2008.35,200
"input/D/",1.2,26.7,0,49,278,1.2,10.3,51.58,2835,101.24,32.28,14.19,3810,185.61,264.5,5507.62,148.41,1577.9,116
"input/D/",1.9,16.2,0,27,76.5,2.2,12,44.71,3595,216.45,73.34,26.63,4510,244.92,346.86,6744.99,217.08,2006.35,112
"input/D/",1.2,83.2,12,10,128.1,1,6.1,94.15,800,33.54,29.66,11.37,2805,33.06,44.05,3859.53,23.54,904.19,272
"input/D/",1.3,28,12,39,209.6,0.3,10.7,54.59,2680,85.44,37.39,15.53,4430,191.76,273.37,6726.94,145.88,1521.59,130
"input/D/",2.8,65.4,19,27,155.4,3,9.3,83.96,1858.98,42.43,32.05,12.57,2345,64.63,114.93,4138.7,56.59,1429.12,224
"input/D/",5.4,1.1,1,42,89.1,4.1,8.5,75.47,1520,35,25.03,10.13,1980,69.37,82.78,2623.62,67.66,2002.03,202
"input/D/",1.5,44.1,3,15,115.1,5.1,8.1,91.05,1745,40.31,28.66,11.6,2950,42.71,60,4656.73,33.64,1391.71,261
"input/D/",4.4,68,14,26,137.3,5,13.7,61.69,4600,85,103.73,24.87,6160,263.56,312.21,7393.43,102.7,1427.1,124
"input/D/",2.2,72.9,23,34,97.8,0.5,6.4,82.6,630,32.02,29.17,11.73,1760,35.71,61.03,3137.85,29.74,1408.23,207
"input/D/",2.9,50,14,43,12.9,4.5,10,70.52,2710,93.01,36.81,14.61,4385,115.76,174.22,6803.29,81.13,1954.86,172
"input/D/",2.6,13.2,23,29,163.1,5.1,9.5,76.38,2350,106.3,31.99,14.84,3650,82.5,127.82,6197.91,78.48,1505.08,209
"input/D/",5.7,70.7,5,17,74.1,3.7,8.5,91.32,1820,53.15,29.94,12.49,2720,44.57,71.98,4598.49,36.06,1679.53,255
"input/D/",0.6,87,3,39,80.6,4.1,12.4,51.13,2275,365.14,64.08,26.82,2875,235.68,428.04,5023.69,201.78,1680.68,110
"input/D/",3.1,16,21,50,356.6,4,10.3,50.32,2475,35,28.3,10.22,3600,187.65,206.19,3946.99,163.57,2000.56,104
"input/D/",5.2,46.1,19,24,28.9,3.5,9.5,81.11,3250,82.01,30.27,12.84,3780,76.79,94.07,5035.42,49.43,1960.4,229
"input/D/",1.1,70.6,13,46,292.5,3.7,9.2,77.42,3340,55.9,32.94,10.78,4255,79.52,83.96,4474.97,40.35,1108.69,206
"input/D/",3.4,72.5,7,49,183.4,1.1,11.9,57.17,2930,106.3,72.34,19.17,4740,232.96,324.79,6735.07,118.85,1508.78,118
"input/D/",3.4,61.5,6,11,118.6,1.9,7.1,92.13,1525,55.9,30.08,14.39,1895,37.14,63.04,3410.92,30.74,1242.47,278
"input/D/",2.8,6.1,4,52,130.5,1.5,12.7,26.84,4550,293,116.21,31.22,5050,314.11,549.76,9317.4,366.41,1993.02,59
"input/D/",5.1,36.8,10,28,94.5,4.9,7.8,86.73,1730,33.54,27.51,10.18,2761.4,43.29,60.92,4048.12,35.57,1680.15,227
"input/D/",1.8,46.7,7,12,45.7,1.7,9.7,89.04,2540,158.82,29.97,17.57,3670,57.72,90.95,6088.37,48.16,1999.56,297
"input/D/",1.5,71.7,9,16,4.5,1,6.5,90.64,1245,86.02,27.16,14,2255,32.35,51.27,3511.57,28.23,1480.24,279
"input/D/",3,69.3,11,56,114.6,4.8,8.9,73.2,1515,33.54,33.82,10.08,3190,82.51,128.92,4775.39,58.64,1415.77,176
"input/D/",5.7,29.6,19,42,149.3,3,8.3,78.89,1395.82,35,28.66,10.13,2865,56.83,92.56,5313.33,49.46,1430.74,195
"input/D/",2.9,72.4,9,43,130.2,0.8,13.2,46.98,3955,90.14,92.76,19.96,5725,332.83,445.46,7734.71,148.69,1433.12,100
"input/D/",2.1,25.2,12,22,349.2,1.4,12,66.23,3250,285.04,66.37,44.93,3910,153.6,278.82,7002.45,158.24,1979.52,171
"input/D/",4.3,58.6,1,13,70.4,2.8,6.6,92.37,1575,42.72,28.43,12.52,2090,33.85,57.47,3766.45,30.31,1698.08,262
"input/D/",3.2,65.9,3,50,46.1,0.7,7,77.56,1860,22.36,25.91,9.33,3015,41.21,48.39,3504.73,28.57,1440.91,200
"input/D/",2.9,44,20,9,119.5,0.7,8.2,93.07,2055,50.25,27.76,12.37,3650,40.42,51.99,5124.37,31.32,1385.09,286
"input/D/",0.5,17.7,16,32,321.2,0.3,8.4,76.13,1825,124.2,26.22,15.91,3505,58.35,99.74,6081.36,61.32,1832.93,215
"input/D/",1.2,38.6,7,9,137,1.2,10.5,82.03,2335,407.71,38.26,26.9,2840,77.94,135.49,5076.54,72.25,1435.32,278
"input/D/",1.6,36.3,9,54,148.8,3.1,13.1,22.95,4085,278.3,105.82,24.83,5175,433.25,669.5,7762.62,310.93,1501.93,50
"input/D/",1.8,79.2,15,7,248.6,0.2,9,94.31,1720,87.46,30.44,18.08,3815,41.22,46.36,4349.23,27.24,1038.6,350
"input/D/",5.5,57.5,7,54,172.2,0.5,11.1,56.44,3655,68.01,62.14,14.86,5350,214.37,259.22,6507.25,99.04,1435.25,111
"input/D/",2.6,5.8,16,56,209.5,5,8.7,65.54,1610,63.25,26.67,9.83,3920,85.62,128.59,6417.1,84.98,1570.23,166
"input/D/",4.9,1.8,1,46,280.8,3.3,10.3,53.14,1465,63.25,27.96,11.12,2125,169.25,179.11,2254.47,169.59,2007.61,118
"input/D/",2,20.1,1,22,83.1,0.4,13.2,27.08,4130,141.51,71.61,35.6,5040,378.29,431.51,5708.79,284.48,1997.92,64
"input/D/",1.1,48,16,20,299.5,2.5,11.4,71.15,3630,124.2,48.32,25.91,4530,143.45,183.54,6062.49,86.46,1564.39,208
"input/D/",1.5,21.2,9,10,280.6,2.7,6.6,92.67,1605,103.08,23.85,16.19,2595,30.76,38.92,3551.05,30.46,1478.01,298
"input/D/",1,5.8,20,31,269.7,2.7,13.7,30.59,4240,585.23,131.15,81.73,6535,318.81,591.59,12616.94,381.21,1589.93,70
"input/D/",0.3,70.6,6,47,203.2,2.6,12.3,55.48,4090,106.3,91.09,21.69,5305,267.02,328.44,6596.71,106.61,1481.06,111
"input/D/",1.7,29.8,12,52,341.3,1.5,10.6,43.28,3625,35,36.55,11.04,4420,235.84,245.04,4594.31,156.47,1840.64,92
"input/D/",3.7,57.1,8,51,118.1,1.2,12.9,42.24,4340,75.17,109.48,22.83,5875,360.97,415.48,6923.34,140.84,1468.27,88
"input/D/",4.1,31.3,14,47,322.4,5,8.3,70.05,2185,81.39,24.92,11.6,3430,67.19,101.12,5703.62,57.75,1579.49,186
"input/D/",0.5,22.2,15,30,212.2,2.8,7.2,85.3,1280,63.25,24.98,11.25,2600,37.03,57.1,4429.71,34.58,1506.47,239
"input/D/",2,26.8,5,11,232.1,2.1,7.1,92.46,1560,90.14,23.81,13.58,2740,33.28,36.2,2979.3,30.71,1326.35,281
"input/D/",4.6,68.8,16,25,341.7,0.6,7.7,86.71,1840,107.35,26.78,13.82,3210,40.03,57.99,4503.35,31.46,1467.83,246
"input/D/",2.1,63.5,11,26,1.1,2.6,8.6,86.31,1860,89.44,28.49,15.42,2710,48.66,85.27,4736.67,44.49,1604.82,249
"input/D/",2.6,66.5,16,17,171.8,2.6,9.1,90.63,2095,98.99,30.27,13.42,3035,48.07,69.68,4586.69,34.43,1378.74,271
"input/D/",1.1,1.2,6,47,0.8,5.4,12.9,19.55,3620,497.29,140.25,120.24,6105,368.96,531.88,10909.89,335.19,2010.27,51
"input/D/",3.5,89.8,18,38,167.8,2.5,8.4,86.62,1960.04,35,31.42,10.36,3930,47.98,52.86,4404.38,26.55,1037.8,223
"input/D/",2.4,83.3,6,19,77.3,3.5,6.8,91.34,695,33.54,28.8,10.69,2640,34.66,48.34,3834.53,25.47,1344.06,242
"input/D/",3.9,50.9,14,46,74.8,4.1,11.4,50.47,3626.32,57.01,59.6,14.6,4440,229.51,332.64,6600.93,144.06,1994.85,105
"input/D/",2.6,17.4,14,41,255.6,2.6,12,23.87,4020,470.03,73.98,41.25,4945,353.16,525.55,8194.58,315.39,1590.22,55
"input/D/",3.9,73.1,13,48,85.1,3.5,13.7,34.89,3160,126.59,88.94,21,4105,372.86,569.35,6377.17,221.02,1843.07,63
"input/D/",0.4,37.8,22,24,250.5,4.2,10.5,71.79,2810,177.34,35.87,22.46,3815,117.1,172.23,5764.05,89.12,1495.25,211
"input/D/",3,20.6,16,16,69.1,0.1,9.7,83.8,2535,101.24,31.68,13.69,3340,69.61,109.28,5685.11,66.61,2002.01,246
"input/D/",1.9,39.3,6,28,39.6,5,13.2,43.74,4260,275.05,102.93,46.56,5460,295.59,437.01,8178.38,197.11,2001.84,100
"input/D/",4.7,14.1,18,55,82,1.3,9.6,62.86,2865,42.43,29.51,10.45,4140,128.53,168.33,6478.8,111.46,2005.32,144
"input/D/",6,48.8,18,21,205.1,0.5,8.4,88.76,2625.53,63.25,26.55,11.44,3760,45.79,55.68,4593.31,33.16,1395,251
"input/D/",2,33.8,0,48,357.7,1.6,8.5,70.83,2250,26.93,24.99,9.53,3835,77.38,78.83,3906.88,57.26,1622.1,188
"input/D/",0.7,49.4,9,39,126.8,0.4,10.4,67.1,2905,50.25,40.65,13.72,5850,142.16,152.92,6371.03,73.64,1464.31,172
"input/D/",3.5,15.1,22,30,167.2,3.2,7.1,85.19,1340,98.99,27.1,11.03,2800,36.92,59.68,5153.11,33.69,1427.86,233
"input/D/",0.9,22.3,3,31,49.5,4.9,8.4,82.71,1675,33.54,27.43,10.88,2805,55.07,90.46,5066.25,53.15,2003.54,219
"input/D/",2.9,2.7,16,39,97.3,0.2,9.6,69,1755,106.3,28.09,11.19,2520,108.72,137.78,3736.38,104.14,2007.59,170
