"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"A"
"02/03/2021 15:32:07:854 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"7","17","input/A/","1","11010","1","59.1","0","48","4.4","3.9","6.4","26.76260597947345","1080","14.14","19.45","6.91","2450","60.29270677481166","88.68432762706101","3470.582400437045","43.20292526155317","848.0260150810237","58"
"10","17","input/A/","1","9113","2.7","30.1","18","39","41.1","4.6","7.1","29.703467670046834","1995","36.06","24.28","8.42","2620","87.64436545355403","130.00746248779998","3852.050339341585","69.54286492094643","1172.066559914521","68"
"8","17","input/A/","1","3662","4","85.8","0","12","3","2.7","9.1","52.0147940221943","2010","93.01","42.95","21.42","2515","72.7649314279732","105.74189623798793","3385.9278803667667","45.223331260009616","803.7192837713962","158"
"1","17","input/A/","1","10068","3.1","29.2","7","44","46.7","3.7","7","24.918784385643175","1905","20","20.76","7.4","3400","87.27470918262098","129.4073495134805","5083.355870721794","70.02809830418204","1365.8842550089298","52"
"3","17","input/A/","1","7810","0.7","57","16","32","211.1","5.2","6.2","41.472601843124934","1705.72","20","20.61","8.88","3205","91.72901314344152","155.95892377531618","5049.39368748902","83.88627889063793","1738.2807974079883","98"
"2","17","input/A/","1","9971","0.1","60.7","20","43","303.2","5.4","8.3","21.766062765250087","2285","53.15","36.82","9.4","3165","157.459656134405","255.3943188983622","5115.424689387774","123.66852682331668","1575.6368633711204","41"
"11","17","input/A/","1","7249","5.8","25.3","3","30","348.2","5","7.7","32.539034979929546","2135","36.06","25.01","10.24","3285","74.58063242995318","134.40392806394715","5779.815132825269","74.69507214421913","1507.257484276523","75"
"6","17","input/A/","1","8093","5.5","82.4","4","33","206.8","2.2","8","38.40320674608241","1233.6","31.62","32.3","10.4","4345","187.02338833636958","326.1008790715187","5968.6158089669925","156.7736681794763","1738.5688785079587","94"
"5","17","input/A/","1","7477","5.9","55.3","17","30","14.8","2","11.1","6.078479560907676","3464.3","93.01","125.35","43.53","3464.3021967571303","197.88088676634652","287.1390089268343","4578.688675518553","111.52436312128303","1116.8975299871224","13"
"14","17","input/A/","1","8750","5.9","69.1","22","38","17.4","2.1","6.1","34.74673735325052","781.1","15","21.55","7.58","1640","41.073491102108896","66.53037947880891","2519.8288943539537","33.43721441651317","605.5961557805871","76"
