"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"C"
"02/03/2021 16:01:52:882 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"25","17","input/C/","1","6198","3.3","50.6","7","25","19.3","1.3","11","28.96603412533886","2019.44","242.07","57.68","82.33","3885","275.5183358058997","516.4738652451799","6893.108435822024","267.67252917972877","1801.6363143417275","29"
"34","17","input/C/","1","8597","1.3","81.4","20","38","90.1","5.3","10.6","18.509728867623604","1155","132.1","32.97","40.01","2900","124.6942720289714","218.52764733745153","4675.802719368584","102.11353403576749","1442.7865469104077","18"
"32","17","input/C/","1","10342","5.2","57.1","3","47","259.5","2.6","10.8","27.103699444124974","1224.66","46.1","30.35","14.15","4130","173.43489046490902","283.0998954328416","6392.138399193172","125.10684905509783","1916.3982118544986","25"
"33","17","input/C/","1","5379","5.8","53.2","18","21","279.1","3.7","9.2","50.31276302701049","1665","47.17","30.2","19.7","3995","98.89307637494906","138.77283382239526","5326.2045951885175","61.29584210981923","1604.554592237951","87"
"36","17","input/C/","1","10155","3.5","19.2","18","46","156","1.6","11","16.274996490601193","1920","35.36","35.76","14.26","4180","107.55950103509818","173.24416935716533","6513.64295621667","74.10233401641408","1922.9701033010915","19"
"29","17","input/C/","1","5080","2.4","4.3","1","19","287.4","1","13.7","13.175113355908858","3410","380.3","129.22","74.62","5370","301.3290223013003","524.4511101526507","9767.11772266329","351.32117076759744","1999.4556544206362","27"
"35","17","input/C/","1","12436","1.5","72.9","1","56","313.6","1","10.2","28.54461412738138","2425","18.03","31.47","9.15","4965","181.69010802390318","215.5296743465741","5881.091269720836","75.44879968841474","1495.4955822217914","22"
"31","17","input/C/","1","5029","4.3","24.4","22","18","243.7","0.4","12.8","2.288876132159714","2810","147.05","64.88","77.06","5155","270.496033412857","343.8210775931476","6285.3501504712585","186.30619884546743","1975.8949130834017","2"
"42","17","input/C/","1","8193","4","68.3","2","37","149.1","2.5","9.2","37.66644537782941","1250","31.62","29.6","13","3170","68.03152913093015","90.42558148469885","4222.087477628708","36.769180042630076","1351.4476736698114","56"
"43","17","input/C/","1","11887","0.8","62.1","3","54","335","1.8","8.7","32.30704815965431","1775","26.93","24.34","11.26","4330","131.4577000453801","161.5435874759221","5157.447593611085","68.57365604033653","1531.2968882137059","39"
"30","17","input/C/","1","5279","5.9","60.3","3","19","7.2","4.1","12.9","15.856434980581223","3261.19","205.97","241.89","156.51","6310","362.62891891335823","529.9587404201079","8982.946146948034","207.39801046556354","1750.2829414621851","27"
