"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"B"
"02/03/2021 15:51:39:248 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"26","17","input/B/","1","9689","0.6","65.5","18","46","286.7","2.8","11.3","0","0","0","0","0","3430","695.8745676471428","1201.6200355304231","5454.9141376191565","542.9282122375015","1337.3230399831377","0"
"32","17","input/B/","1","5619","0.5","38.8","11","26","134.4","0","8.4","9.219645760246427","1690","7.07","32.54","6.38","3255","311.4973552468116","467.99672187108433","4932.56615465564","215.89941699364198","1029.1473764724296","3"
"36","17","input/B/","1","4049","5","89.4","5","17","297.9","0.3","7.6","66.59256725946192","2080.78","25","41","9.03","4490","185.01775495328707","203.58070602221076","5488.349482234379","56.33435697741008","1303.325488964795","20"
"34","17","input/B/","1","10238","3.2","27.1","12","49","79.7","5.1","9.5","0","0","0","0","0","3725","413.85975818898993","576.3306867515167","5495.635906920543","290.1249610070918","1004.7385838982138","0"
"37","17","input/B/","1","6609","4.7","5.1","7","30","335.3","1","9.8","0","0","0","0","0","3350","435.8507345599771","572.1647274555198","5046.470758153969","437.27814934353205","1562.8495425409117","0"
"33","17","input/B/","1","6534","0.2","74","23","31","270.4","0.4","9.3","0","0","0","0","0","2415","487.6423233792533","918.8385013829766","4479.123459309911","445.292391199962","1352.6826027295842","0"
"39","17","input/B/","1","3646","1.5","8.2","20","15","317.8","2.2","11.2","0","0","0","0","0","4215","421.91839498253864","847.1552373930502","8454.600297194887","511.52581102761644","1336.9180231852538","0"
"43","17","input/B/","1","9474","0.6","14.1","0","45","37.6","0.7","12","0","0","0","0","0","3500","344.86708136708137","684.8018299043129","6375.286595587921","364.14567902319095","767.2825994812093","0"
"31","17","input/B/","1","3902","5.9","54","20","14","145.9","3.6","13","0","0","0","0","0","6490","808.780955230686","878.4355463574568","7566.889960926212","252.62905979825985","1419.8346606140137","0"
"41","17","input/B/","1","6689","1.5","70.6","3","30","233.8","2.1","8.4","14.042219369562117","3075","7.07","69.64","6.55","5335","402.368016780821","402.368016780821","5335","120.0394995105722","1227.6062496655597","4"
"35","17","input/B/","1","9056","3.7","27.3","1","42","282.6","4.5","13.6","0","0","0","0","0","5150","748.330335731415","1082.6171588075706","7778.8147434104285","546.3674546455632","1559.3524011168188","0"
"42","17","input/B/","1","10702","1.7","59.4","7","50","99.1","1.2","8.1","0","0","0","0","0","4890","432.0339757316203","457.57714575731575","5479.792348037352","153.7484485949132","996.1031102648211","0"
"40","17","input/B/","1","3082","0.8","60.6","3","13","142.1","4.7","12.6","0.7967389290346488","1625","110.11","263.44","110.11","3485","543.6515300523082","798.416881080673","5072.135468644247","297.47483962176295","1022.0290913567943","1"
"52","17","input/B/","1","2264","6","20","13","9","171","5.1","6.5","69.98717948717949","1940","18.03","14.81","7.62","2755","86.03921233359694","148.3510958348218","5135.542766606206","73.99659287653739","1349.5294360253163","23"
"47","17","input/B/","1","5671","3.1","58.9","11","26","61","4.2","7","32.28658623541827","1510","11.18","25.67","6.03","3480","217.78071554406665","248.92146813366543","4147.841002503746","95.9486445494722","747.3492592842408","10"
"49","17","input/B/","1","9413","3.4","23","20","45","330.3","4.1","7.4","0","0","0","0","0","3325","318.28242528242527","482.3757060414804","5513.896232792302","313.1280323374615","1334.861403811991","0"
"51","17","input/B/","1","2617","2.4","62.3","0","10","281","2","8.8","42.62993022924676","2670","45.28","53.76","13.45","4105","319.105510465613","408.89076092683325","5645.3226879585345","147.0913057452523","1504.888317128743","14"
"38","17","input/B/","1","8215","5.6","80.8","1","35","278.6","2.4","13","0","0","0","0","0","6085","969.7125748502993","1257.5064463461545","7856.761323597843","351.55744343316894","1440.196104481805","0"
"46","17","input/B/","1","8532","4","89.9","20","41","10","0.5","13.8","0","0","0","0","0","3805","662.2284980744544","1008.8907599159031","5215.722706599662","373.50718936755607","730.9084239160643","0"
"44","17","input/B/","1","8333","3.6","69.7","5","38","252.3","2.6","9.6","4.400228212808443","2655","7.07","102.44","7.07","6015","597.2107878465679","714.0576211979962","7713.645925667478","198.18570570809948","1555.4817735240888","1"
"53","17","input/B/","1","4905","4.6","23","13","23","339","0.4","7.7","28.93986077827228","1700","11.18","20.82","6.55","2420","213.2709186253208","451.45614678568785","4616.020975941129","289.93406517465917","1308.0023109179717","8"
"45","17","input/B/","1","4050","5.5","34.9","8","16","76","5.2","10.4","0","0","0","0","0","5250","555.4173791609667","610.6304373177859","5857.162151704971","294.3277913493369","1559.7783031172312","0"
"48","17","input/B/","1","8232","0.9","30.2","5","39","299","2.1","8.3","0","0","0","0","0","2815","402.3454249206758","760.0268199349296","5105.78920490658","439.84581423585564","1342.0224868889852","0"
"50","17","input/B/","1","5604","4.2","88.2","8","27","156.4","5.2","10.1","0","0","0","0","0","1945","394.69371026145467","694.3295456325595","3445.886105805285","312.67462538100796","1015.3200404127505","0"
"61","17","input/B/","1","1627","0","36.1","20","7","113.8","2.1","6.7","70.94440647072227","1045","65.76","17.12","10.87","2145","74.95015948963317","128.2896168125095","3795.842875719921","63.541247125429564","862.4747081666869","27"
"59","17","input/B/","1","5197","1.5","47.9","23","24","329.2","3.4","6.5","40.8481633584303","1975","7.07","18.84","5.94","2320","200.53957885256477","330.4445030764625","3595.654057890457","179.85843040867297","1307.593335181377","11"
"56","17","input/B/","1","6704","1","44.2","14","32","338.4","1","6.7","18.546226630186958","1480","7.07","18.38","5.83","2605","232.22596216280664","348.92976270467415","3874.488234747916","185.614730288502","1325.11072747027","5"
"58","17","input/B/","1","6364","2.6","25.4","17","30","358","1.6","6.3","10.396519754671232","1255","5","8.27","5","3305","219.07637400618722","247.87624193439405","3951.9487781826165","174.74097401772207","1458.2754795753508","3"
"62","17","input/B/","1","7205","1.3","78.3","3","35","37.3","3.8","6.4","20.337895637296835","950","7.07","20","5.52","2535","184.1734388366125","263.4811199301755","3384.2540382810494","106.24569513154063","618.8007090175097","4"
"65","17","input/B/","1","4955","0.2","88.2","11","23","240.8","2","6.2","63.76241013351592","810","20.62","20.09","7.98","2085","95.77102613330375","141.6914297682389","3596.7679327124315","53.61046973326252","1555.785997386192","18"
"66","17","input/B/","1","3477","0.8","18.5","12","15","17.7","5","6.5","49.76979545292566","1620","11.18","10.08","5.86","3690","155.79126619938356","198.62238415573069","5357.478881424655","153.53942735771415","1314.867156413285","12"
"55","17","input/B/","1","9787","5.7","2.9","14","46","216.9","3.9","13.4","0","0","0","0","0","6770","599.7684589657833","1174.474791924929","13620.52868683183","685.6484475348695","1558.5301834014806","0"
"57","17","input/B/","1","3194","1","38.4","8","14","50.8","4.3","10.1","0","0","0","0","0","4180","415.59352825510814","630.9367519909073","5825.4154876732855","300.779111896614","763.4545720220375","0"
"67","17","input/B/","1","4760","3.3","89.9","18","22","316.4","0.6","7.1","59.47575472504918","2179.41","14.14","28.51","6.71","3190","184.73737704274873","253.61647163416973","4368.778546921203","93.68822657181997","1317.3365017636954","15"
"54","17","input/B/","1","6998","4.6","54.5","21","33","215.3","4.8","11.5","0","0","0","0","0","2895","589.569209039548","1069.6944078076044","5411.745264487618","512.2479942168607","1559.1830680698931","0"
"63","17","input/B/","1","3224","4.8","42.7","10","14","237.8","0.6","9.4","12.335071670798781","1040","7.07","35.46","6.04","2685","386.2155192945527","750.171338700975","4969.371741621928","393.0191120620622","1560.9832054304165","2"
"64","17","input/B/","1","8937","1.6","26.9","10","41","2.6","4.9","11.7","0","0","0","0","0","4685","466.40814434460134","700.0536752556036","7279.11563449439","386.32083613421435","1327.948111877032","0"
"60","17","input/B/","1","8357","1.3","40.4","21","38","165.9","3.1","10","0","0","0","0","0","6175","586.7394808158608","641.5721362946565","6902.407004992748","261.2414162570065","1551.4052828315885","0"
"69","17","input/B/","1","7670","3.1","12.4","1","36","337.8","0.9","8.2","0","0","0","0","0","3970","347.34363408092224","516.8128932044042","7358.117876950756","363.7782049686242","1333.6226388854188","0"
"71","17","input/B/","1","8573","0.5","88","10","42","1.9","3.4","11.1","0","0","0","0","0","1970","431.6752312435766","830.081482814844","2993.004186595201","411.4873343817434","709.9728859905007","0"
"74","17","input/B/","1","5215","1.4","37.2","19","24","74.8","0.3","9.6","6.1901095140314855","1595","7.07","56.05","6.04","3005","292.22861834295566","517.2476709870639","5394.398460345778","255.25606199641243","569.3808939659017","2"
"77","17","input/B/","1","6708","2.2","70.7","19","32","127.2","2.4","7.3","20.25906292749658","1065","7.07","22.88","5.41","2095","191.58905965577947","275.97017503797167","3181.828854185685","107.19787403232162","949.1193781612535","5"
"68","17","input/B/","1","9682","1.3","62.5","15","46","262.8","4","11.8","0","0","0","0","0","3325","685.2599119572363","1183.9798180653693","5526.028440441942","524.8210000072198","1528.8601139308148","0"
"70","17","input/B/","1","8458","3.9","68.8","13","41","171.6","0.1","11.5","0","0","0","0","0","1975","485.71730138354013","960.900883056257","3744.112024455776","494.5977328154315","1075.040582437966","0"
"72","17","input/B/","1","2958","4","28.7","4","12","307","4.8","12.6","0","0","0","0","0","3560","506.31370788438517","1021.5725472240447","6591.9830605603365","578.0387050101311","1337.9756566855854","0"
"79","17","input/B/","1","10561","3.1","87.8","20","52","346.8","4","7.2","15.1576152132945","795","5","24.53","5","1965","258.96900060233907","465.0604961586179","3107.7628147536816","223.46015676298327","822.6043734704025","3"
"83","17","input/B/","1","9374","3.5","85.8","16","45","84.2","1.9","6.4","14.964964964964967","1905","5","23.34","5","5275","183.6345819717893","186.80375900132492","5453.024902938623","53.627528780682056","967.9970928952083","3"
"73","17","input/B/","1","8970","5.7","54.5","6","41","172","3.5","11","0","0","0","0","0","5820","688.3602909713308","771.8946683204673","7428.635952833172","231.76964969571085","1511.5183909061302","0"
"82","17","input/B/","1","7894","5.6","30.4","2","38","49.2","5.4","8.5","4.505776636713735","1080","7.07","38.72","7.07","2865","291.0041363571531","523.0135468162673","4627.486844734284","288.6089367519635","660.5001231847365","1"
"76","17","input/B/","1","7745","4.5","78.6","20","37","244.5","1.5","13.8","0","0","0","0","0","2765","699.7905975595849","1366.1112435940995","5032.458429499069","680.4591852919607","1559.5183921325245","0"
"75","17","input/B/","1","5528","3.3","79.8","5","22","218.7","1.8","12.1","14.249265942586733","4240","45.28","224.04","23.63","7385","731.1887155753077","810.1711257381954","8131.4904850930925","171.77143408047468","1544.4518082940056","3"
"85","17","input/B/","1","7879","0.1","55.8","10","38","334.9","2.3","9.4","1.4591356439880188","745","7.07","50.96","7.07","2350","405.766081871345","788.5500452687882","3973.897418417645","414.67841911056075","1268.259346706659","1"
"81","17","input/B/","1","10640","3.7","15.5","0","49","171.9","2.4","13.4","0","0","0","0","0","6090","594.8255730863774","934.279911057825","10217.321532530106","502.09933526064754","1560.5046786809112","0"
"80","17","input/B/","1","4707","3.5","18.9","18","20","317.9","4.4","13.8","0","0","0","0","0","5625","634.5052706552706","692.3428282956977","6359.116647387553","487.7962270321773","1552.3872518022831","0"
"78","17","input/B/","1","5776","3.6","78.1","11","25","91.5","2.5","12.9","4.5","2745","7.07","132.12","7.07","5735","734.5250590826187","846.4055022967764","6690.466072584875","192.4932618124345","870.1865383642736","1"
"84","17","input/B/","1","3576","4.7","9.8","0","15","302","4.9","13.8","0","0","0","0","0","4165","512.0777563965505","1073.6449873874935","7788.297877519179","629.8126359048549","1337.441639308092","0"
"89","17","input/B/","1","4314","4.8","89.3","4","18","88.2","0.5","8.8","48.61823361823362","2105.15","40.31","58.85","13.17","4575","247.19967719670464","303.2453295533525","5478.964096264764","86.72582561638129","653.3318431408726","16"
"93","17","input/B/","1","3672","4.3","25.6","18","17","59.3","0.8","7.1","39.05181258549932","1413.74","7.07","15.02","5.69","2010","158.18799973819208","297.2506216529474","3777.3859814554744","178.63006842199871","617.2674479285625","9"
"88","17","input/B/","1","9849","1.5","52.5","12","48","151.3","3.2","13.9","0","0","0","0","0","2570","463.2360112936345","903.20977136704","4904.647251250148","461.7069281445086","1022.8449100070942","0"
"86","17","input/B/","1","5992","0.1","75.3","10","27","101.7","0.4","10.5","4.503464203233257","2030","7.07","84.27","7.07","3960","497.7733655586044","640.6282224623969","5079.139854847994","188.96781092224472","900.4713826161247","1"
"92","17","input/B/","1","10179","1.5","11.4","2","49","38.9","2.1","8.8","0","0","0","0","0","3910","339.0525495912651","524.8039683008658","7175.206290744382","331.24111002064745","1044.845224737908","0"
"90","17","input/B/","1","2375","3.8","63","10","9","98.8","4.1","11.9","18.099715099715098","2320","65.76","112.97","29.54","3890","452.40599921322536","583.890697755617","5013.181024278072","188.6307086135649","939.2082851925626","7"
"87","17","input/B/","1","9054","5.8","88.3","13","43","253.7","2.8","12.6","0","0","0","0","0","3300","743.9798278298856","1200.6348160443895","5205.2243824069665","474.0487790539489","1553.5152950594634","0"
"96","17","input/B/","1","7465","3.5","16.2","7","35","244.4","0.2","7.4","0.2053036783575706","30","5","13.09","5","3325","328.69867408041057","375.0585259155109","4198.169122194576","280.0849467823033","1552.9173863724664","1"
"91","17","input/B/","1","4344","0.3","14.1","23","17","263","4.6","13.3","0","0","0","0","0","4730","654.5966569767443","1113.983863849759","8708.739478310219","675.642717629758","1559.8537329143019","0"
"94","17","input/B/","1","6409","1","68.2","6","30","76.1","2.8","13","0","0","0","0","0","3195","537.1098274140636","754.747362001242","4528.103145624235","253.2506799959626","606.2994440910678","0"
"99","17","input/B/","1","10926","0.2","60.1","12","52","67","1.2","7.1","0","0","0","0","0","4495","348.8082491005654","376.9345195229578","5243.094154457836","132.74883736619694","973.268485789798","0"
"97","17","input/B/","1","11377","3.3","23.1","19","54","279","5.3","10","0","0","0","0","0","4890","545.1920993356713","670.7726125855118","6700.518832146258","405.0533869575407","1561.334561004725","0"
"98","17","input/B/","1","11145","4.3","69.3","7","54","117.6","2","12.3","0","0","0","0","0","2780","484.6697602144099","711.7066988970402","4146.510933678228","253.53253819481566","960.939959468292","0"
"95","17","input/B/","1","8983","1.7","56.2","2","43","277","3.8","13.7","0","0","0","0","0","2905","691.3879252501891","1428.0768810980417","5217.126177217762","754.3977449814618","1354.6309138627616","0"
"100","17","input/B/","1","9619","1.8","4","2","45","214.6","5.4","10.3","0","0","0","0","0","6535","538.496710996711","867.6726679374018","13181.978296492152","525.5487519770337","1561.1481083134618","0"
