"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"D"
"02/03/2021 16:26:21:378 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"29","17","input/D/","1","11638","3","69.3","11","56","114.6","4.8","8.9","73.20199674554208","1515","33.54","33.82","10.08","3190","82.51156328345235","128.92272859761772","4775.3921191578675","58.64243046790952","1415.7723160836672","176"
"30","17","input/D/","1","8815","5.7","29.6","19","42","149.3","3","8.3","78.89187421000146","1395.82","35","28.66","10.13","2865","56.826296146278935","92.56066677303889","5313.32721102651","49.46262307310875","1430.7416841429676","195"
"34","17","input/D/","1","10453","3.2","65.9","3","50","46.1","0.7","7","77.55535553555356","1860","22.36","25.91","9.33","3015","41.21468491252111","48.39471393206275","3504.7303794136064","28.5749041112099","1440.9145917021037","200"
"23","17","input/D/","1","10587","3.4","72.5","7","49","183.4","1.1","11.9","57.16540935440324","2930","106.3","72.34","19.17","4740","232.9628042475441","324.7872375328035","6735.0652290795015","118.8536601626336","1508.7798953184256","118"
"33","17","input/D/","1","3056","4.3","58.6","1","13","70.4","2.8","6.6","92.36565884576775","1575","42.72","28.43","12.52","2090","33.84734758371499","57.46718358017202","3766.453095409375","30.30579203447467","1698.0750645426974","262"
"36","17","input/D/","1","7047","0.5","17.7","16","32","321.2","0.3","8.4","76.12973606690593","1825","124.2","26.22","15.91","3505","58.345929270775656","99.73611125548234","6081.3568606824465","61.32365257699413","1832.934236672148","215"
"35","17","input/D/","1","2462","2.9","44","20","9","119.5","0.7","8.2","93.0652715780301","2055","50.25","27.76","12.37","3650","40.4211332764463","51.98879147684224","5124.3683025569","31.32347544719122","1385.0936493507604","286"
"32","17","input/D/","1","5065","2.1","25.2","12","22","349.2","1.4","12","66.22537786213508","3250","285.04","66.37","44.93","3910","153.60087876143518","278.82084983389393","7002.446824212782","158.24446246514304","1979.5237552902313","171"
"25","17","input/D/","1","11412","2.8","6.1","4","52","130.5","1.5","12.7","26.83994832260251","4550","293","116.21","31.22","5050","314.1065499686679","549.7565683365683","9317.395049486558","366.4115944846576","1993.0168665977071","59"
"41","17","input/D/","1","12016","2.6","5.8","16","56","209.5","5","8.7","65.5445920062377","1610","63.25","26.67","9.83","3920","85.62449123179184","128.59234606104084","6417.095461398323","84.98132120560172","1570.2257918602402","166"
"37","17","input/D/","1","2366","1.2","38.6","7","9","137","1.2","10.5","82.0281873048203","2335","407.71","38.26","26.9","2840","77.93816525454146","135.4854076715335","5076.54042378205","72.25476450788362","1435.3203173466839","278"
"39","17","input/D/","1","1964","1.8","79.2","15","7","248.6","0.2","9","94.30715919461043","1720","87.46","30.44","18.08","3815","41.21736535983621","46.355059518929316","4349.228896194505","27.235745309317977","1038.6034971328397","350"
"31","17","input/D/","1","9439","2.9","72.4","9","43","130.2","0.8","13.2","46.9754094105907","3955","90.14","92.76","19.96","5725","332.8323796876154","445.45806130143154","7734.712680269305","148.68669689369997","1433.1168738857853","100"
"45","17","input/D/","1","2468","1.5","21.2","9","10","280.6","2.7","6.6","92.67326627957398","1605","103.08","23.85","16.19","2595","30.760407510520665","38.91510608758281","3551.0498787097026","30.46437156939654","1478.0057133186176","298"
"42","17","input/D/","1","9758","4.9","1.8","1","46","280.8","3.3","10.3","53.14062609203947","1465","63.25","27.96","11.12","2125","169.24953946466658","179.11179462173044","2254.473110794051","169.59121548464154","2007.6052747197687","118"
"40","17","input/D/","1","11490","5.5","57.5","7","54","172.2","0.5","11.1","56.442159306742646","3655","68.01","62.14","14.86","5350","214.3676845818175","259.22265760941025","6507.2460415265305","99.04228072859624","1435.2516101316105","111"
"44","17","input/D/","1","4837","1.1","48","16","20","299.5","2.5","11.4","71.14796782387806","3630","124.2","48.32","25.91","4530","143.44552144719222","183.5446606794879","6062.4850157426445","86.45957126722308","1564.390550857449","208"
"50","17","input/D/","1","9898","4.1","31.3","14","47","322.4","5","8.3","70.04897759404854","2185","81.39","24.92","11.6","3430","67.18594484775319","101.12415973097524","5703.622735713053","57.752911568601455","1579.490017611645","186"
"51","17","input/D/","1","6372","0.5","22.2","15","30","212.2","2.8","7.2","85.3049690427052","1280","63.25","24.98","11.25","2600","37.03313151618039","57.104524986741474","4429.712789409592","34.58297050126494","1506.466642197546","239"
"52","17","input/D/","1","2745","2","26.8","5","11","232.1","2.1","7.1","92.45838564102347","1560","90.14","23.81","13.58","2740","33.28347582504793","36.20396398361973","2979.296646627986","30.707007192137944","1326.3502138932472","281"
"53","17","input/D/","1","5452","4.6","68.8","16","25","341.7","0.6","7.7","86.70511362133277","1840","107.35","26.78","13.82","3210","40.02801758074508","57.98946727711944","4503.349432050462","31.456442698099917","1467.826343846667","246"
"54","17","input/D/","1","5733","2.1","63.5","11","26","1.1","2.6","8.6","86.30959310632407","1860","89.44","28.49","15.42","2710","48.65688786544851","85.26701499310329","4736.6717681669","44.48571931813977","1604.8225459332461","249"
"55","17","input/D/","1","3884","2.6","66.5","16","17","171.8","2.6","9.1","90.63483363630014","2095","98.99","30.27","13.42","3035","48.0714770238428","69.67657856912224","4586.686944772506","34.4316446042571","1378.735812502888","271"
"47","17","input/D/","1","10286","0.3","70.6","6","47","203.2","2.6","12.3","55.477640133869976","4090","106.3","91.09","21.69","5305","267.0213113788475","328.4429758910972","6596.712963298887","106.61430291039684","1481.0613442503584","111"
"38","17","input/D/","1","11581","1.6","36.3","9","54","148.8","3.1","13.1","22.954822954822955","4085","278.3","105.82","24.83","5175","433.2549639620024","669.5005492107766","7762.623463139413","310.93258390364116","1501.934713991683","50"
"57","17","input/D/","1","8174","3.5","89.8","18","38","167.8","2.5","8.4","86.62218937542617","1960.04","35","31.42","10.36","3930","47.977040008566775","52.85972634953392","4404.380902845115","26.55062382305656","1037.800800352745","223"
"58","17","input/D/","1","4211","2.4","83.3","6","19","77.3","3.5","6.8","91.33824610778126","695","33.54","28.8","10.69","2640","34.66317477011666","48.34060243233313","3834.530170424359","25.469590150088344","1344.0555157745962","242"
"46","17","input/D/","1","7198","1","5.8","20","31","269.7","2.7","13.7","30.5930638384386","4240","585.23","131.15","81.73","6535","318.8113628204137","591.5863620462367","12616.93966198165","381.2095618645171","1589.9294596783554","70"
"48","17","input/D/","1","11136","1.7","29.8","12","52","341.3","1.5","10.6","43.28056167400881","3625","35","36.55","11.04","4420","235.83798563316859","245.03899275300643","4594.309227413403","156.4660603524891","1840.644250061921","92"
"49","17","input/D/","1","11215","3.7","57.1","8","51","118.1","1.2","12.9","42.235315292423664","4340","75.17","109.48","22.83","5875","360.9654612917991","415.483117982466","6923.338259882062","140.83944511733029","1468.268833264118","88"
"63","17","input/D/","1","3934","3","20.6","16","16","69.1","0.1","9.7","83.80368721325907","2535","101.24","31.68","13.69","3340","69.60702424984424","109.27856904098185","5685.11299378002","66.6066674814242","2002.0056867253631","246"
"43","17","input/D/","1","5218","2","20.1","1","22","83.1","0.4","13.2","27.07805659415184","4130","141.51","71.61","35.6","5040","378.29337294458446","431.5127888355767","5708.790755477343","284.48227604836984","1997.9242588779712","64"
"62","17","input/D/","1","5339","0.4","37.8","22","24","250.5","4.2","10.5","71.78721107442215","2810","177.34","35.87","22.46","3815","117.09737782618119","172.23111078061214","5764.051655547647","89.12126493169808","1495.2488991759935","211"
"59","17","input/D/","1","10017","3.9","50.9","14","46","74.8","4.1","11.4","50.46974905065369","3626.32","57.01","59.6","14.6","4440","229.50541647956146","332.6421902606345","6600.929983217097","144.05812511544823","1994.846536980746","105"
"65","17","input/D/","1","11826","4.7","14.1","18","55","82","1.3","9.6","62.85540247784611","2865","42.43","29.51","10.45","4140","128.5256266612228","168.3303638271832","6478.804022728865","111.46074443068349","2005.3174386083422","144"
"67","17","input/D/","1","10131","2","33.8","0","48","357.7","1.6","8.5","70.83206223306895","2250","26.93","24.99","9.53","3835","77.37521502779472","78.82805390262087","3906.8775929803287","57.262494082545096","1622.1015360548315","188"
"69","17","input/D/","1","6349","3.5","15.1","22","30","167.2","3.2","7.1","85.18643170873683","1340","98.99","27.1","11.03","2800","36.916342330338885","59.677156531748345","5153.105702805149","33.68850911417003","1427.8617276241307","233"
"66","17","input/D/","1","4803","6","48.8","18","21","205.1","0.5","8.4","88.76313653530926","2625.53","63.25","26.55","11.44","3760","45.790125693673886","55.67575118574722","4593.310939810157","33.164246807372194","1395.0002075368538","251"
"70","17","input/D/","1","6919","0.9","22.3","3","31","49.5","4.9","8.4","82.70661087015452","1675","33.54","27.43","10.88","2805","55.0701686768212","90.46174586642664","5066.253614189795","53.15049151164041","2003.5446498211752","219"
"56","17","input/D/","1","10233","1.1","1.2","6","47","0.8","5.4","12.9","19.552580196440093","3620","497.29","140.25","120.24","6105","368.95759051291293","531.8793680928285","10909.894204074968","335.1857920895536","2010.2726665798805","51"
"73","17","input/D/","1","7703","6","0.7","0","36","102.1","0.7","6.9","83.54897925479884","2815","33.54","28.49","10.11","4415","39.91658938560497","60.721223968835034","8805.84877892855","36.8871422467767","1987.4449250451344","217"
"68","17","input/D/","1","8554","0.7","49.4","9","39","126.8","0.4","10.4","67.10139677172644","2905","50.25","40.65","13.72","5850","142.15696717461373","152.92261897467043","6371.033837020372","73.64243055992921","1464.30999333418","172"
"61","17","input/D/","1","10497","3.9","73.1","13","48","85.1","3.5","13.7","34.88682970646058","3160","126.59","88.94","21","4105","372.86101901635396","569.3541525441292","6377.171195371765","221.0245644922427","1843.0746397279336","63"
"64","17","input/D/","1","6588","1.9","39.3","6","28","39.6","5","13.2","43.73869868089521","4260","275.05","102.93","46.56","5460","295.5867889485949","437.0089556247561","8178.383465182826","197.11237613258206","2001.840530717745","100"
"71","17","input/D/","1","8340","2.9","2.7","16","39","97.3","0.2","9.6","68.99889198905971","1755","106.3","28.09","11.19","2520","108.71801246564229","137.77808789885268","3736.37867577242","104.13750796611426","2007.5884046334836","170"
"79","17","input/D/","1","7098","2.2","14.4","9","33","135.3","5.3","7.3","82.52104185924375","1765","35.36","29.42","10.61","2995","43.17626549403201","67.18573329678185","4673.414578533524","38.91364746709733","1547.9379499032905","218"
"72","17","input/D/","1","3657","5.7","74.6","10","15","288.7","3.6","8.9","91.0027031459117","1637.19","102.59","29.84","17.16","3490","45.28306049132341","58.903845786213125","5041.037613223235","31.944426870269005","1396.6011130142394","283"
"77","17","input/D/","1","6978","1","51.5","12","32","341.3","0.5","8.2","82.58352661339472","2495","69.64","25.81","10.64","3715","52.949103168854506","59.77615178336353","4091.6980508513725","36.825378421462275","1663.550900029301","228"
"60","17","input/D/","1","8988","2.6","17.4","14","41","255.6","2.6","12","23.865856834073938","4020","470.03","73.98","41.25","4945","353.1568042175868","525.550042647993","8194.578612483452","315.38816573692026","1590.2150639171055","55"
"75","17","input/D/","1","6035","1","53.2","11","28","144.2","2.3","10.8","66.35774629994283","2300","87.32","43.52","14.84","2880","139.0332018128822","245.70237295838834","4991.65581537061","122.69014780381168","1439.4723540192613","171"
"78","17","input/D/","1","6346","5.9","74","15","27","302.5","4","9.8","84.96065092703748","3829.84","77.78","34.32","13.33","4740","69.16039856214579","74.25779407516973","5289.682574161199","36.29969748938858","1156.696149075385","238"
"84","17","input/D/","1","5677","0.4","37.6","13","25","26.4","1.7","7.7","86.70098674638237","2025","69.64","24.05","11.01","3395","41.541500443095394","45.282604782563695","3893.344766029336","33.7517515330641","1781.9118560345578","239"
"83","17","input/D/","1","2891","3","72.4","13","11","9.3","1","9.8","91.59516333219464","2230","175.29","32.65","23.6","2945","51.566887280249375","80.58724675636728","4823.2070010679045","39.93441065444657","1845.1704648252894","323"
"76","17","input/D/","1","5724","0.6","65.4","13","26","117.8","3.9","13.6","42.432683576295474","2005","572.93","109.23","101.5","2850","274.2382558590674","503.37167949450793","5301.12856980793","243.92346757904363","1425.5775120972928","110"
"80","17","input/D/","1","1822","0.4","81.2","6","7","213.9","0.9","13.4","83.68220083136032","2355","626.6","58.49","91.98","2700","100.40431354382319","178.2103013224111","4658.016999591393","86.41307590325536","1513.5594585687252","329"
"86","17","input/D/","1","8283","2.2","45.6","21","39","241.5","4.3","9.9","70.99394725189983","2593.52","93.41","32.34","14.29","4190","108.46694812390417","155.5006834418196","6227.424008305788","75.4297333175277","1492.5054774797284","186"
"82","17","input/D/","1","11603","4.5","84","22","56","289.1","3.7","11.8","54.08131483490406","1860","504.41","72.12","51.82","2655","206.59334074439502","401.41113729883875","4629.950064847433","202.16644070679132","1584.8448439661247","100"
"87","17","input/D/","1","4120","0.5","63.6","16","18","285.1","0.1","11.8","77.24933720115865","2425","501.42","49.8","45.12","3250","113.05561578677828","195.10464567380143","5829.435165890052","97.38563534649762","1584.0553136753051","229"
"85","17","input/D/","1","10603","2.4","46","19","48","27","3.8","11.3","51.095052877770996","4002.09","97.08","59.42","21.25","4600","221.63055762264563","323.33300414511547","6588.361753311774","140.09365034888987","2000.6480660980415","114"
"88","17","input/D/","1","8753","5.6","45.5","1","39","28.3","3.4","10.3","67.453079020459","3250","89.44","39.76","15.13","4810","136.6966565542168","181.15196512121076","6612.750242187783","82.7231713096867","1971.4560785620122","168"
"93","17","input/D/","1","2016","0.7","37.3","5","7","335.3","4.4","7.7","92.75779625010178","1425","128.06","27.63","24.71","2555","36.14329085749702","60.20949990660408","4413.693234988269","35.942516521084784","1535.309536936702","338"
"95","17","input/D/","1","6842","5.3","77.4","20","32","299.9","1.2","9.3","81.99564485000339","1905","124.2","32.31","18.45","3045","62.16517920579048","104.24759150321505","5309.322752328472","51.792663154435715","1548.0416314174176","214"
"94","17","input/D/","1","2488","2.8","70.5","18","7","155","1.2","8.6","94.13014352650318","3830","78.1","28.58","15.51","5450","39.12640596877673","39.8025726092377","5558.80587086253","26.91603166969918","1100.939390952081","330"
