"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"C"
"02/09/2021 11:09:41:072 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"98","input/C/","9820","13.4","44","88.5","1","3","279","697","206"
"93","input/C/","33187","7.1","52","37.4","2","0.5","1075","697","532"
"100","input/C/","5398","10.8","22","139.8","1","2.1","416","697","301"
"97","input/C/","20080","12.8","30","231","2","0","1099","697","391"
"99","input/C/","2445","10.2","7","196.9","1","0.3","477","697","339"
"86","input/C/","10402","7.2","14","239.5","2","4.7","1469","697","423"
"101","input/C/","30255","13.6","47","161","2","2.3","788","697","400"
"104","input/C/","10487","12.4","47","280.9","1","3.1","347","697","236"
"103","input/C/","3642","12.7","13","312.8","1","3.6","465","697","302"
"102","input/C/","25377","12.2","39","333","2","0.9","1240","697","535"
"90","input/C/","10298","9.2","14","79.7","2","1.3","1490","697","630"
"95","input/C/","12267","11.3","17","266.5","2","2.4","1577","697","512"
"82","input/C/","6070","13.9","7","67.8","2","0.6","1576","697","612"
"109","input/C/","10817","11.9","49","195.7","1","2","356","697","249"
"94","input/C/","9640","7.4","13","106.8","2","3.2","1469","697","599"
"106","input/C/","27793","9.6","43","45.5","2","1.8","1245","697","587"
"114","input/C/","5666","9.8","23","257.2","1","2.5","422","697","294"
"115","input/C/","9644","8.4","43","50.4","1","1.3","388","697","305"
"111","input/C/","33842","13.6","53","99.1","2","2.3","612","697","366"
"110","input/C/","23971","8.8","37","197.2","2","5.1","1243","697","543"
"83","input/C/","6042","6.1","7","300.4","2","3","1622","697","564"
"118","input/C/","6342","12","26","338.2","1","2.6","416","697","293"
"107","input/C/","17684","8.6","26","50.1","2","3.3","1391","697","604"
"112","input/C/","20029","12.2","30","296.9","2","2.2","1334","697","561"
"119","input/C/","9332","7.4","42","220","1","1.8","391","697","263"
"105","input/C/","11637","12.6","16","311.6","2","1.6","1609","697","481"
"123","input/C/","8274","12.9","36","10.2","1","1.3","360","697","244"
"117","input/C/","29006","11.4","45","273.3","2","5.5","1156","697","523"
"113","input/C/","12199","10.7","17","67.6","2","2.5","1532","697","620"
"125","input/C/","34394","11.5","54","75.9","2","0.4","1033","697","536"
"124","input/C/","27003","6.4","42","224.2","2","4.7","1103","697","498"
"121","input/C/","24255","9.2","37","346.6","2","4.2","1335","697","569"
"122","input/C/","17694","13.3","26","220.4","2","3.5","1190","697","451"
"126","input/C/","34437","10.5","54","96","2","0.5","1121","697","561"
"127","input/C/","25782","6.9","40","102.4","2","2.3","1097","697","573"
"128","input/C/","3829","11.3","14","329","1","0.4","464","697","321"
"130","input/C/","4812","12.7","19","236","1","4.5","413","697","231"
"116","input/C/","12806","6.8","18","291.7","2","3.6","1395","697","526"
"136","input/C/","5226","9.4","21","244","1","4.5","432","697","281"
"133","input/C/","3038","10.2","10","69.4","1","4.8","461","697","335"
"120","input/C/","13477","9.6","19","311.4","2","1.4","1513","697","549"
"108","input/C/","8667","8.9","11","291.6","2","0.4","1617","697","512"
"139","input/C/","5030","11.7","20","140","1","0.7","407","697","289"
"135","input/C/","35015","11.6","55","344","2","3.7","1054","697","526"
"132","input/C/","23638","10.2","36","28","2","5","1351","697","579"
"129","input/C/","21593","9.8","33","182.2","2","4.6","1317","697","569"
"142","input/C/","10971","11.9","49","349.2","1","3.5","351","697","251"
"141","input/C/","4385","8.5","17","211.9","1","4.2","434","697","318"
"144","input/C/","12273","12.4","56","295.1","1","2.8","310","697","205"
"134","input/C/","19442","12.7","29","66","2","1.3","1221","697","568"
"143","input/C/","9110","12.6","40","270.9","1","3.2","345","697","223"
"138","input/C/","33274","13.2","52","333.1","2","3.5","809","697","325"
"148","input/C/","7435","6.9","32","19.1","1","5.4","402","697","310"
"149","input/C/","4399","6.6","17","50.6","1","3","414","697","318"
"140","input/C/","26007","11.4","40","44","2","2.4","1234","697","572"
"147","input/C/","3207","11.8","11","270.9","1","2.8","458","697","283"
"145","input/C/","27344","13.4","42","315.6","2","2.1","952","697","354"
"137","input/C/","14639","8.3","21","74.2","2","5.4","1400","697","616"
"153","input/C/","5179","12.3","20","161.9","1","5.3","416","697","278"
"155","input/C/","10918","13.8","49","122","1","3.5","278","697","195"
"151","input/C/","30847","11.9","48","150.9","2","5.4","989","697","483"
"160","input/C/","5176","13.5","21","114.6","1","5.1","354","697","261"
"157","input/C/","34920","12.7","55","139.4","2","5.3","691","697","338"
"152","input/C/","13438","13.8","19","230.9","2","4.3","1136","697","354"
"150","input/C/","15901","9.5","23","43.5","2","5.4","1457","697","611"
"163","input/C/","6373","7.3","27","268.2","1","2.4","400","697","272"
"161","input/C/","23024","8.1","35","321.9","2","2.8","1301","697","464"
"131","input/C/","6099","6.3","7","94.4","2","1.4","1453","697","627"
"158","input/C/","10796","11.7","15","328.6","2","4.6","1706","697","504"
"165","input/C/","15222","11.7","22","123.3","2","4.9","1416","697","603"
"168","input/C/","4992","7.3","20","100.7","1","5.5","410","697","322"
"166","input/C/","27210","11.5","42","352.4","2","3.7","1244","697","538"
"170","input/C/","9844","9.3","44","329.3","1","0.8","390","697","270"
"172","input/C/","8638","9.1","38","11.3","1","3.5","398","697","302"
"156","input/C/","8605","8.7","11","95.5","2","3.9","1549","697","612"
"174","input/C/","8572","7.6","38","254.9","1","2.6","387","697","276"
"154","input/C/","8056","8.8","10","36.7","2","3","1648","697","623"
"146","input/C/","7502","10.7","9","293.8","2","4.3","1759","697","538"
"164","input/C/","11065","8.2","15","301.4","2","4.6","1487","697","462"
"177","input/C/","11296","9.9","51","298.3","1","5","379","697","268"
"169","input/C/","25773","7.5","40","79.6","2","3.1","1157","697","584"
"178","input/C/","6379","9","27","126.3","1","1.2","405","697","308"
"167","input/C/","15228","13.1","22","313.1","2","4.2","1422","697","549"
"162","input/C/","7820","8.7","10","127.1","2","0.3","1270","697","589"
"173","input/C/","19421","12.5","29","177.8","2","3.6","1169","697","489"
"175","input/C/","34656","13.9","54","295.6","2","1.2","633","697","305"
"159","input/C/","7532","10.6","9","345.5","2","2.7","1818","697","602"
"179","input/C/","30806","10.9","48","140.7","2","2.2","1025","697","511"
"180","input/C/","27329","11.7","42","212","2","0.5","1091","697","448"
"171","input/C/","15309","11.3","22","50.4","2","3.9","1502","697","616"
"181","input/C/","30884","12.8","48","208.3","2","1.4","891","697","443"
"189","input/C/","11187","10.6","51","144.7","1","2.3","358","697","267"
"182","input/C/","29389","7.1","46","300","2","3.5","1129","697","452"
"190","input/C/","9553","10.7","42","47.8","1","0.9","383","697","289"
"176","input/C/","15638","6.9","23","47.5","2","5.4","1366","697","594"
"192","input/C/","6816","9.5","29","104.8","1","2.7","405","697","321"
"184","input/C/","31402","12.5","49","179.3","2","3.2","890","697","396"
"193","input/C/","9115","9.7","40","11.4","1","2.7","396","697","299"
"187","input/C/","35075","11.3","55","85","2","2.8","1052","697","549"
"186","input/C/","32657","8.5","51","305.4","2","0.3","1153","697","506"
"195","input/C/","6642","10.2","28","121","1","1.3","410","697","312"
"197","input/C/","8295","13.3","36","117.5","1","2","335","697","232"
"185","input/C/","20047","12.3","30","92","2","4.9","1288","697","585"
"199","input/C/","6460","10.7","27","89","1","3.5","419","697","306"
"191","input/C/","29593","10.2","46","284.9","2","1.7","1215","697","515"
"200","input/C/","3449","13.2","12","61.2","1","2.6","460","697","310"
"198","input/C/","30628","8.4","48","44.2","2","5.4","1179","697","572"
"196","input/C/","13925","7.1","20","45.3","2","4.5","1396","697","601"
"194","input/C/","11993","9","17","198.5","2","3.5","1284","697","386"
"188","input/C/","7831","7.6","10","42.6","2","4.4","1554","697","592"
"183","input/C/","6277","11.4","7","169.1","2","2.3","1938","697","627"
