"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"B"
"02/09/2021 11:09:37:884 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"98","input/B/","8003","11.7","39","348","1","1.2","245","101","81"
"99","input/B/","5562","6.8","27","150.1","1","3.6","301","101","88"
"90","input/B/","16560","9.6","27","22.7","2","2.6","1075","101","99"
"101","input/B/","9640","11.1","47","183.6","1","4.1","258","101","81"
"103","input/B/","11213","9.3","55","116.1","1","1.4","278","101","85"
"102","input/B/","4978","6.3","24","92.1","1","5","295","101","98"
"95","input/B/","28023","12.2","46","277.4","2","3.6","625","101","97"
"105","input/B/","11425","9.2","56","255.9","1","2.6","265","101","82"
"104","input/B/","7458","9.8","36","146.6","1","0.2","285","101","98"
"106","input/B/","4196","6.3","20","125.7","1","1.9","303","101","91"
"73","input/B/","5809","11.2","9","7.7","2","4.3","1479","101","99"
"108","input/B/","8035","8.4","39","69","1","2.6","283","101","99"
"100","input/B/","23246","13.4","38","258.3","2","0.5","485","101","79"
"110","input/B/","10990","13.1","53","278.2","1","1.5","143","101","40"
"109","input/B/","4627","13.2","22","324.4","1","1.2","265","101","74"
"92","input/B/","8791","9.7","14","93","2","2.5","1185","101","99"
"115","input/B/","6621","9.5","32","228.5","1","5.4","294","101","95"
"114","input/B/","6438","13.5","31","234.9","1","0.8","202","101","49"
"111","input/B/","24722","6.9","41","79.6","2","4.8","886","101","99"
"117","input/B/","8224","6","40","244.7","1","3.4","284","101","99"
"97","input/B/","9390","8","15","22.3","2","2.3","1228","101","99"
"94","input/B/","6376","12.8","10","258.3","2","2.2","1306","101","99"
"119","input/B/","7421","10.6","36","354.2","1","1.4","279","101","97"
"118","input/B/","3833","11.7","18","245.8","1","3.3","290","101","83"
"77","input/B/","5010","10.3","8","147.6","2","2.6","1458","101","99"
"112","input/B/","19323","7.8","32","108","2","5.2","958","101","99"
"113","input/B/","12413","13.2","20","321.8","2","2.2","931","101","99"
"83","input/B/","4624","12.5","7","319.1","2","5","1626","101","99"
"122","input/B/","31526","7.3","52","221.2","2","4.2","829","101","99"
"123","input/B/","1635","13.3","7","191.8","1","4.6","395","101","90"
"124","input/B/","27157","7","45","156.5","2","3.6","862","101","99"
"121","input/B/","31706","13.4","52","85.1","2","5.2","345","101","46"
"116","input/B/","14768","9.5","24","344.3","2","2.7","1121","101","99"
"130","input/B/","8474","12.4","41","133","1","0.6","215","101","58"
"132","input/B/","8287","11.5","40","181.4","1","1.3","256","101","85"
"128","input/B/","4746","14","22","46.8","1","4.7","227","101","67"
"134","input/B/","8633","9.8","42","343.7","1","5.5","274","101","99"
"133","input/B/","9246","10.2","45","89.2","1","2.1","276","101","97"
"126","input/B/","24599","13.4","40","327.3","2","1.6","500","101","80"
"135","input/B/","4801","11.2","23","315.8","1","1.1","284","101","82"
"107","input/B/","6399","10","10","234.8","2","2.7","1284","101","99"
"137","input/B/","4268","12.4","20","121.6","1","2.4","303","101","88"
"125","input/B/","11594","8.4","19","66.3","2","2","1169","101","99"
"129","input/B/","24768","8.9","41","0.2","2","2.3","909","101","99"
"131","input/B/","23141","11","38","53.4","2","4.4","877","101","92"
"140","input/B/","3103","11.8","14","97.2","1","1.3","340","101","94"
"143","input/B/","10294","12.2","50","186","1","3.1","211","101","68"
"141","input/B/","3058","7.5","14","151.3","1","3.8","307","101","98"
"146","input/B/","8570","7.2","42","145.3","1","5.2","277","101","91"
"145","input/B/","7013","8.3","34","215.5","1","2.5","283","101","99"
"136","input/B/","16971","9.3","28","168.4","2","2.3","1029","101","93"
"144","input/B/","25540","9.9","42","226.7","2","3","890","101","95"
"147","input/B/","28406","9.7","47","112.8","2","1","901","101","99"
"148","input/B/","27714","7.6","46","137","2","5.3","861","101","91"
"138","input/B/","9945","12.3","16","309.9","2","1","1193","101","99"
"154","input/B/","5576","7.2","27","257.9","1","0.3","294","101","99"
"149","input/B/","14606","8.2","24","228.5","2","0.4","1016","101","99"
"151","input/B/","27557","7.6","46","266","2","4.9","841","101","99"
"156","input/B/","5859","11.8","28","308.3","1","4.2","285","101","89"
"153","input/B/","21149","6.4","35","322.8","2","0.6","861","101","93"
"158","input/B/","7780","8.4","38","202","1","1.7","291","101","83"
"152","input/B/","21453","9.9","35","109.4","2","3.3","974","101","99"
"160","input/B/","6112","9.2","29","248.4","1","5.5","299","101","98"
"120","input/B/","4566","9.8","7","277.3","2","2.5","1393","101","99"
"139","input/B/","5776","13.9","9","122.1","2","3.5","1561","101","99"
"155","input/B/","17547","7.3","29","181.8","2","0.1","989","101","99"
"157","input/B/","29767","10.9","49","148.3","2","1.4","832","101","89"
"161","input/B/","4464","12.9","21","42","1","2.4","271","101","93"
"142","input/B/","7016","8.4","11","279.6","2","3.2","1188","101","99"
"165","input/B/","8729","7.1","43","15.3","1","0.3","277","101","99"
"164","input/B/","9401","13.6","45","147.3","1","0.9","171","101","38"
"167","input/B/","8853","8.7","43","111.4","1","4.2","279","101","96"
"166","input/B/","4448","10.4","21","7.2","1","3","303","101","99"
"171","input/B/","5336","6.9","26","255.1","1","2.9","300","101","86"
"159","input/B/","32413","11.2","53","60.9","2","2.4","779","101","99"
"169","input/B/","7888","12.1","38","187.6","1","4.4","244","101","80"
"163","input/B/","28000","9.1","46","81.8","2","2.7","876","101","99"
"127","input/B/","4423","6.7","7","146.7","2","5.2","1133","101","98"
"177","input/B/","11376","7.9","56","20.6","1","2.5","272","101","97"
"172","input/B/","30133","6.1","50","303.3","2","4.4","781","101","99"
"168","input/B/","21193","7.3","35","121.7","2","4.8","936","101","99"
"178","input/B/","6035","6.1","29","73.1","1","4.1","296","101","98"
"180","input/B/","4423","9.9","21","233.9","1","4.6","301","101","84"
"174","input/B/","20959","13.3","34","4.8","2","2.3","651","101","90"
"162","input/B/","8236","13.1","13","19","2","4.4","1106","101","99"
"182","input/B/","10794","8.4","53","83.7","1","2.6","273","101","84"
"176","input/B/","14191","12.2","23","273.1","2","2.6","912","101","99"
"184","input/B/","4264","9.8","20","116.5","1","4.4","311","101","86"
"185","input/B/","7534","12.3","36","348","1","0.2","248","101","79"
"175","input/B/","13583","7.4","22","168.4","2","1.7","1043","101","99"
"150","input/B/","5222","6.9","8","259.1","2","0.7","1186","101","99"
"186","input/B/","8075","13.5","39","266.4","1","1.4","175","101","37"
"189","input/B/","8354","12.7","40","168","1","1","217","101","67"
"181","input/B/","12442","13.6","20","33.3","2","5.2","839","101","99"
"179","input/B/","14184","8.7","23","79.6","2","4.3","1065","101","99"
"183","input/B/","26802","13.2","44","270.7","2","2.9","444","101","81"
"170","input/B/","6931","12.6","11","11.7","2","2.3","1476","101","99"
"195","input/B/","8461","9.5","41","103.2","1","1.2","285","101","95"
"188","input/B/","30813","7.3","51","143.6","2","1.2","863","101","99"
"190","input/B/","18731","6.3","31","97","2","1.3","933","101","99"
"193","input/B/","28550","13.3","47","205.7","2","2","371","101","52"
"199","input/B/","5062","11.2","24","11.1","1","5.5","296","101","98"
"194","input/B/","20768","8.8","34","62.3","2","4.9","987","101","99"
"187","input/B/","11211","11.4","18","127.4","2","1.5","1124","101","98"
"196","input/B/","32394","12.4","53","37.1","2","5.3","518","101","85"
"198","input/B/","30473","12.5","50","166","2","2.9","572","101","90"
"197","input/B/","25702","13.9","42","118.6","2","3.9","377","101","50"
"192","input/B/","8563","7.5","14","22.1","2","3.2","1065","101","99"
"191","input/B/","9409","9.6","15","268","2","3.4","1190","101","99"
"173","input/B/","4600","8.3","7","99.7","2","0.3","1153","101","99"
"200","input/B/","4588","9","7","260.1","2","3.7","1331","101","99"
