"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"A"
"02/09/2021 11:08:55:087 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"94","input/A/","29456","9.8","49","174.6","2","3","322","186","126"
"100","input/A/","5232","7.2","25","155.1","1","5.3","161","186","72"
"93","input/A/","17065","11.2","28","128.8","2","4","340","186","91"
"95","input/A/","22384","7.7","37","139.8","2","3.2","488","186","144"
"98","input/A/","33954","7.3","56","148.8","2","1.2","344","186","141"
"101","input/A/","6830","6","33","228.1","1","4.9","140","186","61"
"103","input/A/","10227","7.2","50","292.6","1","0.4","119","186","29"
"89","input/A/","11206","7.3","18","293.2","2","2.3","555","186","80"
"106","input/A/","8998","7.5","44","47.2","1","1.2","140","186","42"
"96","input/A/","15474","7.7","25","270.6","2","1.8","509","186","118"
"90","input/A/","11185","7.2","18","59.1","2","3.7","589","186","130"
"99","input/A/","16582","10.2","27","336.5","2","0","472","186","31"
"110","input/A/","5681","9.3","27","46.1","1","5.1","154","186","53"
"109","input/A/","5509","10.7","26","315.8","1","3.8","129","186","42"
"102","input/A/","17534","7.8","29","107.4","2","3.2","493","186","141"
"107","input/A/","32219","6.9","53","224.5","2","2.6","337","186","114"
"108","input/A/","29763","6.9","49","283.1","2","5.5","324","186","89"
"113","input/A/","10885","12.7","53","123.5","1","5.3","44","186","10"
"104","input/A/","20159","13.5","33","179.7","2","2.4","94","186","16"
"118","input/A/","5277","9.3","25","2.3","1","2.3","151","186","26"
"115","input/A/","10578","11.8","51","143.4","1","3.6","62","186","9"
"85","input/A/","6359","9.9","10","61.6","2","2.2","981","186","149"
"121","input/A/","8748","8.7","42","100.6","1","4.4","141","186","59"
"111","input/A/","14864","12.6","24","357","2","2.5","333","186","35"
"120","input/A/","6667","10","32","272","1","3.9","131","186","46"
"114","input/A/","17748","10.8","29","68.5","2","0.9","469","186","101"
"119","input/A/","2576","8.3","11","229.4","1","1.2","183","186","73"
"122","input/A/","11579","10.4","56","306.3","1","1.9","82","186","31"
"123","input/A/","7925","8.6","38","345.3","1","4","134","186","26"
"117","input/A/","17171","11.9","28","185.7","2","5.5","246","186","80"
"124","input/A/","2411","9","11","142.6","1","0.5","194","186","84"
"129","input/A/","5557","11.8","26","191.6","1","1.4","105","186","33"
"127","input/A/","10142","13.5","48","48.2","1","4.9","37","186","6"
"116","input/A/","13664","9.2","22","145.4","2","2","619","186","145"
"134","input/A/","6241","8.8","30","194.3","1","2.5","145","186","65"
"131","input/A/","7341","13.2","35","198.7","1","0.1","59","186","11"
"105","input/A/","6389","6.7","10","77.2","2","4.7","684","186","143"
"130","input/A/","18929","9.4","31","212.3","2","1.1","422","186","142"
"128","input/A/","13589","8.7","22","357.4","2","2.3","544","186","114"
"126","input/A/","12449","7","20","345.4","2","5.2","560","186","137"
"135","input/A/","10255","13.2","49","42","1","4.9","49","186","9"
"132","input/A/","29176","13","48","273","2","4.2","40","186","9"
"138","input/A/","8744","11.2","42","260.6","1","2.5","82","186","28"
"136","input/A/","2057","10.1","9","214.3","1","5","210","186","65"
"137","input/A/","9218","13.9","44","331.8","1","2.6","42","186","9"
"142","input/A/","3599","7.7","17","175.3","1","4.1","171","186","88"
"145","input/A/","6626","7.7","32","0.4","1","3.2","146","186","37"
"143","input/A/","3204","9","15","63.9","1","3.3","185","186","64"
"146","input/A/","5969","6.6","29","316.6","1","1.1","138","186","27"
"148","input/A/","6517","9","31","120.9","1","1.2","147","186","64"
"147","input/A/","6695","10.8","32","37.8","1","3.8","120","186","33"
"140","input/A/","1625","9.8","7","30.9","1","4.3","251","186","39"
"125","input/A/","6959","10.4","11","206.7","2","5","738","186","144"
"141","input/A/","1851","10.5","8","203.8","1","4.5","189","186","74"
"112","input/A/","5160","6.4","8","108","2","1.4","714","186","143"
"139","input/A/","26190","9.2","43","14.8","2","2.1","402","186","90"
"144","input/A/","26591","10.5","44","143.2","2","4.4","262","186","91"
"133","input/A/","8569","7.3","14","100.5","2","1.2","662","186","150"
"157","input/A/","10223","6.6","50","54.6","1","1.4","132","186","45"
"153","input/A/","3489","10.5","16","303.7","1","5.1","159","186","25"
"150","input/A/","4580","14","21","67.7","1","2.5","93","186","19"
"159","input/A/","5811","7.6","28","297.9","1","3.4","139","186","46"
"149","input/A/","26781","9.3","44","114.5","2","0.4","402","186","131"
"163","input/A/","11185","6.7","55","39.6","1","2.3","128","186","47"
"155","input/A/","24483","9.2","40","307.3","2","2.4","419","186","107"
"156","input/A/","29312","11","48","61.6","2","2.5","174","186","42"
"151","input/A/","13573","9.3","22","295.6","2","1.5","541","186","88"
"158","input/A/","21518","12.8","35","276","2","2.3","120","186","25"
"160","input/A/","13543","6.2","22","267.6","2","3.2","515","186","78"
"162","input/A/","24519","11.5","40","69.2","2","1.5","226","186","42"
"161","input/A/","16940","13.2","27","314","2","5","182","186","31"
"171","input/A/","7446","6.2","36","126.5","1","0","133","186","73"
"167","input/A/","1633","7.4","7","80.9","1","2.4","190","186","68"
"164","input/A/","32567","13","53","238.8","2","2.4","35","186","9"
"169","input/A/","8299","13","40","205.9","1","4.8","51","186","13"
"170","input/A/","8742","12","42","151.3","1","2","71","186","15"
"152","input/A/","8814","8.6","14","173.2","2","4.7","705","186","146"
"176","input/A/","7326","9.7","35","316.8","1","2.5","127","186","38"
"166","input/A/","15961","7","26","41.8","2","1.5","496","186","120"
"177","input/A/","7881","12.4","38","234.8","1","2","66","186","27"
"178","input/A/","6634","7.6","32","155","1","5.4","149","186","70"
"168","input/A/","25641","11.6","43","144.1","2","2.3","185","186","42"
"181","input/A/","5041","12.6","24","19.9","1","2.1","119","186","19"
"173","input/A/","31029","11","51","184.6","2","3.9","164","186","52"
"174","input/A/","19597","8.5","32","321.8","2","0.2","464","186","92"
"175","input/A/","21392","12.6","35","250.5","2","5.3","120","186","36"
"154","input/A/","5822","11.8","9","23.7","2","4.9","1088","186","80"
"172","input/A/","13607","12.9","22","309.7","2","4.3","293","186","50"
"180","input/A/","24518","6.6","41","251.7","2","0.9","376","186","113"
"182","input/A/","26625","7.2","44","149.2","2","1.2","410","186","140"
"188","input/A/","7036","9.7","34","169.3","1","3.9","129","186","53"
"165","input/A/","7589","10.9","12","19.2","2","0","941","186","123"
"185","input/A/","2267","10.5","10","254.5","1","0.6","221","186","64"
"191","input/A/","10681","8.4","52","312","1","5.1","113","186","24"
"192","input/A/","4887","8.6","23","27.9","1","2.5","153","186","59"
"186","input/A/","22605","11.4","37","173.8","2","5.2","205","186","66"
"184","input/A/","27294","8.8","45","31.9","2","5","391","186","77"
"190","input/A/","2905","13.9","13","230.2","1","2.7","135","186","31"
"195","input/A/","7883","9.2","38","24.8","1","2.8","130","186","42"
"183","input/A/","17205","8.5","28","71.2","2","4","502","186","137"
"189","input/A/","30442","7.1","50","167.6","2","5.2","359","186","122"
"194","input/A/","2446","12","11","221.8","1","1","159","186","53"
"197","input/A/","4279","13.2","20","216.6","1","4.8","91","186","31"
"200","input/A/","6935","12.5","32","320","1","3.6","87","186","20"
"199","input/A/","1837","9.7","8","265","1","2.5","205","186","59"
"198","input/A/","1652","12.9","7","15.7","1","3.1","262","186","41"
"179","input/A/","5808","8.3","9","330.2","2","4.1","803","186","139"
"187","input/A/","5137","12.2","8","288","2","5","809","186","74"
"196","input/A/","7975","6.6","13","296.6","2","3.1","627","186","62"
"193","input/A/","5808","6.6","9","217.6","2","0.9","677","186","143"
